t,mag_x,mag_y,mag_z,yaw_mag_deg,yaw_filter_deg,accepted
1195.3726,-27.3,-133.9,-287.4,100.79,109.21,1
1195.5059,-34.7,-139.8,-287.4,105.61,108.94,1
1195.6402,-50.4,-144.7,-282.5,111.95,110.63,1
1195.7753,-58.8,-141.7,-281.5,114.55,113.75,1
1195.9111,-59.9,-138.8,-284.4,113.83,115.07,1
1196.0443,-60.9,-135.9,-283.5,115.47,114.30,1
1196.1788,-56.7,-126.1,-288.3,117.15,111.69,1
1196.3129,-46.2,-124.1,-294.2,117.09,107.45,1
1196.4472,-24.2,-129.0,-293.2,101.90,104.18,1
1196.5815,-21.0,-132.9,-292.2,100.17,103.35,1
1196.7143,-25.2,-144.7,-286.4,104.07,103.76,1
1196.8489,-48.3,-144.7,-286.4,113.71,106.01,1
1196.9857,-37.8,-138.8,-287.4,109.21,106.73,1
1197.1183,-37.8,-127.1,-291.3,110.96,106.20,1
1197.2532,-21.0,-124.1,-294.2,103.88,103.72,1
1197.3888,-28.4,-120.2,-296.1,115.43,102.05,1
1197.5212,-45.2,-120.2,-293.2,123.38,99.25,0
1197.6544,-27.3,-122.2,-293.2,112.40,100.91,1
1197.7892,-36.8,-131.9,-288.3,115.15,103.51,1
1197.9262,-57.8,-129.0,-287.4,123.70,106.34,0
1198.0584,-52.5,-128.0,-286.4,121.57,108.13,1
1198.1924,-50.4,-126.1,-289.3,120.19,110.38,1
1198.3243,-50.4,-125.1,-291.3,121.83,110.41,1
1198.4587,-66.2,-122.2,-293.2,131.09,110.24,0
1198.5919,-64.1,-118.3,-290.3,132.61,108.63,0
1198.7254,-41.0,-121.2,-294.2,116.62,108.21,1
1198.8589,-43.1,-131.0,-291.3,113.83,109.26,1
1198.9953,-54.6,-134.9,-283.5,118.02,111.33,1
1199.1296,-56.7,-131.0,-286.4,117.69,113.63,1
1199.2631,-48.3,-125.1,-288.3,113.40,115.39,1
1199.3974,-52.5,-123.1,-290.3,115.49,114.97,1
1199.5329,-46.2,-118.3,-296.1,114.77,113.56,1
1199.6657,-54.6,-114.4,-288.3,123.08,112.15,1
1199.8008,-36.8,-122.2,-292.2,107.17,110.48,1
1199.9375,-39.9,-131.0,-293.2,108.05,110.48,1
1200.0719,-52.5,-132.9,-285.4,116.43,111.88,1
1200.2065,-64.1,-135.9,-288.3,119.22,114.61,1
1200.3406,-57.8,-129.0,-291.3,117.19,116.60,1
1200.4737,-63.0,-128.0,-286.4,120.12,117.55,1
1200.6075,-65.1,-125.1,-289.3,120.68,118.01,1
1200.7419,-60.9,-123.1,-290.3,122.18,116.76,1
1200.8751,-59.9,-120.2,-292.2,122.95,114.22,1
1201.0139,-59.9,-128.0,-291.3,121.70,113.35,1
1201.1470,-70.4,-137.8,-285.4,124.43,114.30,1
1201.2796,-70.4,-125.1,-287.4,128.97,116.40,1
1201.4148,-64.1,-128.0,-290.3,124.52,118.51,1
1201.5489,-66.2,-122.2,-292.2,124.72,121.12,1
1201.6826,-51.5,-121.2,-294.2,118.00,120.41,1
1201.8174,-56.7,-117.3,-289.3,123.94,116.94,1
1201.9550,-52.5,-114.4,-295.2,121.05,113.98,1
1202.0867,-27.3,-123.1,-295.2,104.56,112.82,1
1202.2207,-43.1,-127.1,-290.3,114.28,113.66,1
1202.3550,-66.2,-126.1,-283.5,123.05,116.67,1
1202.4893,-74.6,-126.1,-285.4,125.32,119.34,1
1202.6219,-63.0,-126.1,-291.3,119.65,120.40,1
1202.7556,-58.8,-116.3,-295.2,121.73,119.37,1
1202.8903,-66.2,-109.5,-298.1,130.74,118.93,1
1203.0269,-84.0,-105.6,-298.1,141.98,115.28,0
1203.1589,-54.6,-113.4,-295.2,124.01,112.68,1
1203.2941,-53.6,-121.2,-294.2,119.77,112.44,1
1203.4264,-67.2,-122.2,-292.2,126.25,114.64,1
1203.5591,-72.5,-126.1,-286.4,125.70,117.89,1
1203.6926,-75.6,-120.2,-290.3,126.84,120.11,1
1203.8279,-73.5,-116.3,-287.4,127.59,120.00,1
1203.9666,-74.6,-113.4,-290.3,130.65,118.79,1
1204.0995,-74.6,-112.4,-293.2,132.30,116.82,0
1204.2330,-59.9,-118.3,-292.2,120.49,114.40,1
1204.3681,-57.8,-132.9,-289.3,117.05,113.57,1
1204.5022,-62.0,-127.1,-287.4,119.96,114.17,1
1204.6360,-65.1,-121.2,-293.2,121.35,117.50,1
1204.7689,-62.0,-108.5,-295.2,119.91,120.45,1
1204.9031,-63.0,-112.4,-296.1,120.88,121.63,1
1205.0399,-77.7,-111.4,-293.2,129.69,122.01,1
1205.1733,-85.1,-110.4,-294.2,136.30,120.47,0
1205.3065,-67.2,-115.3,-294.2,124.84,117.42,1
1205.4413,-57.8,-124.1,-293.2,116.54,117.03,1
1205.5734,-60.9,-130.0,-289.3,117.44,117.69,1
1205.7079,-70.4,-131.9,-285.4,121.43,120.55,1
1205.8433,-71.4,-125.1,-286.4,121.35,122.66,1
1205.9787,-77.7,-125.1,-287.4,124.99,123.68,1
1206.1119,-65.1,-120.2,-295.2,121.19,122.17,1
1206.2469,-66.2,-120.2,-293.2,124.10,120.70,1
1206.3791,-65.1,-123.1,-296.1,121.53,118.99,1
1206.5141,-53.6,-131.0,-299.1,113.75,119.14,1
1206.6479,-66.2,-132.9,-296.1,118.86,120.02,1
1206.7821,-64.1,-132.9,-294.2,117.98,121.19,1
1206.9177,-49.4,-124.1,-299.1,111.32,122.89,1
1207.0517,-62.0,-121.2,-304.9,119.07,124.93,1
1207.1863,-58.8,-114.4,-304.9,121.22,124.93,1
1207.3189,-89.3,-116.3,-305.9,137.00,124.76,1
1207.4530,-73.5,-120.2,-307.9,129.44,121.99,1
1207.5880,-53.6,-127.1,-303.9,117.08,120.26,1
1207.7203,-59.9,-131.9,-307.9,117.65,121.76,1
1207.8552,-75.6,-137.8,-303.0,121.67,124.76,1
1207.9935,-87.2,-134.9,-296.1,126.89,127.25,1
1208.1276,-64.1,-132.9,-298.1,116.31,126.08,1
1208.2619,-67.2,-122.2,-303.9,121.63,124.29,1
1208.3958,-48.3,-123.1,-302.0,109.42,120.73,1
1208.5286,-56.7,-123.1,-300.0,120.15,118.09,1
1208.6636,-49.4,-125.1,-304.9,115.12,115.12,1
1208.7978,-28.4,-121.2,-302.0,99.11,117.15,0
1208.9322,-31.5,-125.1,-302.0,99.49,120.46,0
1209.0658,-45.2,-123.1,-298.1,106.88,122.67,0
1209.2005,-63.0,-130.0,-295.2,117.42,124.36,1
1209.3331,-54.6,-124.1,-295.2,113.52,124.72,1
1209.4675,-52.5,-123.1,-300.0,114.02,124.06,1
1209.6014,-45.2,-117.3,-298.1,112.84,122.36,1
1209.7363,-49.4,-115.3,-298.1,117.72,120.52,1
1209.8695,-43.1,-127.1,-297.1,113.73,116.97,1
1210.0069,-33.6,-131.0,-289.3,107.85,114.91,1
1210.1412,-30.5,-136.8,-292.2,102.99,116.02,1
1210.2753,-41.0,-138.8,-287.4,108.80,118.56,1
1210.4092,-59.9,-135.9,-287.4,117.35,121.77,1
1210.5433,-64.1,-135.9,-287.4,117.87,124.09,1
1210.6756,-60.9,-129.0,-292.2,117.31,124.46,1
1210.8111,-65.1,-131.0,-289.3,120.44,123.12,1
1210.9481,-68.3,-131.9,-287.4,123.79,119.12,1
1211.0807,-56.7,-133.9,-291.3,119.05,116.79,1
1211.2156,-52.5,-139.8,-287.4,116.98,115.17,1
1211.3506,-59.9,-133.9,-286.4,121.35,116.18,1
1211.4830,-72.5,-125.1,-287.4,127.99,118.43,1
1211.6169,-60.9,-121.2,-288.3,123.49,120.94,1
1211.7511,-66.2,-119.2,-289.3,126.57,120.00,1
1211.8854,-57.8,-124.1,-290.3,122.74,117.25,1
1212.0227,-58.8,-120.2,-292.2,125.59,114.50,1
1212.1571,-38.9,-127.1,-293.2,109.77,113.60,1
1212.2903,-37.8,-131.0,-291.3,108.79,114.86,1
1212.4240,-51.5,-129.0,-289.3,117.26,116.95,1
1212.5582,-76.7,-126.1,-286.4,128.74,120.03,1
1212.6907,-67.2,-125.1,-287.4,123.98,121.63,1
1212.8255,-63.0,-114.4,-294.2,123.40,120.72,1
1212.9639,-37.8,-113.4,-293.2,108.93,118.19,1
1213.0970,-47.3,-114.4,-293.2,117.31,115.53,1
1213.2320,-23.1,-116.3,-293.2,96.16,112.56,0
1213.3652,-25.2,-120.2,-296.1,99.06,113.09,1
1213.4988,-38.9,-127.1,-292.2,108.17,114.61,1
1213.6332,-43.1,-114.4,-294.2,111.48,118.48,1
1213.7678,-60.9,-104.6,-300.0,123.13,122.27,1
1213.9024,-52.5,-98.7,-302.0,116.46,122.95,1
1214.0402,-55.7,-88.9,-302.0,131.56,122.22,1
1214.1747,-64.1,-100.7,-297.1,134.21,120.52,1
1214.3094,-48.3,-104.6,-301.0,117.05,119.07,1
1214.4424,-39.9,-113.4,-300.0,108.15,118.44,1
1214.5762,-44.1,-117.3,-294.2,110.89,118.81,1
1214.7107,-56.7,-124.1,-291.3,115.67,121.63,1
1214.8443,-72.5,-117.3,-292.2,126.21,124.55,1
1214.9825,-70.4,-114.4,-294.2,124.94,125.62,1
1215.1180,-66.2,-112.4,-297.1,122.78,124.92,1
1215.2510,-68.3,-109.5,-296.1,125.56,124.39,1
1215.3851,-67.2,-108.5,-295.2,127.23,123.09,1
1215.5196,-51.5,-116.3,-293.2,113.13,120.42,1
1215.6534,-48.3,-123.1,-288.3,111.23,119.53,1
1215.7880,-59.9,-129.0,-292.2,115.02,120.61,1
1215.9258,-71.4,-131.0,-287.4,121.67,124.67,1
1216.0591,-66.2,-127.1,-289.3,118.61,127.36,1
1216.1930,-66.2,-121.2,-288.3,119.10,127.04,1
1216.3271,-57.8,-113.4,-293.2,116.81,125.09,1
1216.4599,-65.1,-120.2,-292.2,122.64,122.90,1
1216.5942,-74.6,-131.0,-289.3,123.39,120.80,1
1216.7295,-47.3,-128.0,-288.3,108.42,121.37,1
1216.8628,-55.7,-131.9,-287.4,112.14,124.80,1
1216.9877,-67.2,-128.0,-287.4,118.18,127.57,1
1217.1206,-76.7,-126.1,-288.3,121.83,129.40,1
1217.2562,-69.3,-118.3,-294.2,117.21,130.90,1
1217.3893,-80.9,-118.3,-287.4,123.41,130.66,1
1217.5239,-76.7,-121.2,-289.3,122.55,129.65,1
1217.6580,-72.5,-120.2,-289.3,124.28,126.25,1
1217.7925,-59.9,-128.0,-291.3,115.02,123.55,1
1217.9298,-64.1,-136.8,-286.4,115.28,123.23,1
1218.0641,-66.2,-137.8,-285.4,115.97,123.62,1
1218.1974,-69.3,-135.9,-282.5,120.16,124.83,1
1218.3332,-66.2,-127.1,-287.4,119.45,124.87,1
1218.4673,-72.5,-123.1,-284.4,124.61,124.06,1
1218.6000,-55.7,-124.1,-288.3,118.28,121.98,1
1218.7347,-52.5,-119.2,-295.2,120.39,119.22,1
1218.8707,-53.6,-120.2,-294.2,120.21,114.68,1
1219.0064,-26.3,-132.9,-294.2,102.18,112.49,1
1219.1411,-34.7,-132.9,-291.3,106.98,113.14,1
1219.2756,-41.0,-131.9,-285.4,108.12,116.96,1
1219.4094,-57.8,-129.0,-290.3,113.83,122.35,1
1219.5435,-54.6,-129.0,-290.3,109.55,126.85,0
1219.6767,-64.1,-121.2,-288.3,117.92,127.06,1
1219.8100,-66.2,-114.4,-293.2,123.36,124.79,1
1219.9477,-54.6,-117.3,-296.1,115.94,120.48,1
1220.0824,-34.7,-124.1,-292.2,99.73,118.72,0
1220.2149,-37.8,-131.0,-292.2,103.38,119.53,0
1220.3482,-53.6,-129.0,-291.3,108.82,122.64,1
1220.4836,-59.9,-122.2,-291.3,111.88,125.31,1
1220.6162,-58.8,-117.3,-289.3,111.43,126.74,0
1220.7498,-55.7,-117.3,-293.2,109.29,125.30,0
1220.8834,-56.7,-114.4,-295.2,113.94,122.81,1
1221.0200,-44.1,-120.2,-292.2,105.38,118.47,1
1221.1547,-25.2,-123.1,-293.2,89.91,115.04,0
1221.2884,-15.8,-131.0,-288.3,85.05,114.07,0
1221.4198,-22.1,-135.9,-287.4,91.68,115.33,0
1221.5545,-38.9,-124.1,-293.2,101.40,118.58,0
1221.6876,-29.4,-112.4,-295.2,89.44,120.28,0
1221.8214,-33.6,-117.3,-294.2,95.05,119.08,0
1221.9574,-30.5,-110.4,-299.1,101.44,115.60,1
1222.0919,-29.4,-100.7,-303.9,113.24,111.81,1
1222.2264,-17.9,-112.4,-302.0,95.37,109.11,1
1222.3592,-13.7,-117.3,-301.0,90.27,109.96,0
1222.4930,-24.2,-122.2,-299.1,100.16,112.45,1
1222.6283,-49.4,-119.2,-291.3,117.69,116.63,1
1222.7611,-56.7,-115.3,-296.1,120.12,119.89,1
1222.8959,-57.8,-116.3,-296.1,119.97,121.84,1
1223.0344,-52.5,-108.5,-299.1,122.69,121.23,1
1223.1687,-62.0,-110.4,-301.0,130.87,117.99,1
1223.3032,-54.6,-111.4,-298.1,130.13,113.97,0
1223.4363,-52.5,-112.4,-296.1,126.53,111.77,1
1223.5691,-39.9,-116.3,-297.1,116.25,112.13,1
1223.7045,-56.7,-120.2,-294.2,127.20,113.69,1
1223.8390,-68.3,-114.4,-290.3,134.26,116.42,0
1223.9743,-73.5,-116.3,-287.4,134.72,118.13,0
1224.1062,-71.4,-110.4,-293.2,135.62,118.36,0
1224.2412,-58.8,-109.5,-293.2,131.50,117.21,1
1224.3737,-68.3,-113.4,-290.3,135.37,113.53,0
1224.5104,-46.2,-120.2,-289.3,119.41,113.02,1
1224.6420,-53.6,-126.1,-289.3,120.25,114.34,1
1224.7755,-66.2,-123.1,-285.4,129.01,116.59,1
1224.9103,-72.5,-119.2,-290.3,131.58,119.69,1
1225.0476,-68.3,-118.3,-292.2,126.93,121.59,1
1225.1803,-68.3,-121.2,-291.3,126.27,120.49,1
1225.3157,-66.2,-112.4,-293.2,131.34,119.16,1
1225.4498,-72.5,-119.2,-289.3,131.15,117.52,1
1225.5820,-45.2,-119.2,-295.2,112.42,116.21,1
1225.7164,-52.5,-134.9,-286.4,114.75,116.94,1
1225.8523,-67.2,-128.0,-287.4,123.67,118.18,1
1225.9865,-66.2,-124.1,-286.4,121.57,120.80,1
1226.1198,-60.9,-122.2,-294.2,117.48,122.71,1
1226.2548,-68.3,-118.3,-290.3,122.48,123.83,1
1226.3902,-68.3,-115.3,-292.2,127.02,123.17,1
1226.5228,-72.5,-117.3,-292.2,131.37,119.89,1
1226.6568,-55.7,-119.2,-292.2,119.63,116.55,1
1226.7914,-44.1,-126.1,-293.2,111.36,115.22,1
1226.9280,-49.4,-128.0,-292.2,115.75,115.74,1
1227.0608,-59.9,-126.1,-287.4,123.07,118.79,1
1227.1954,-59.9,-122.2,-292.2,120.96,121.12,1
1227.3281,-60.9,-118.3,-289.3,124.24,121.92,1
1227.4619,-64.1,-113.4,-290.3,126.66,120.82,1
1227.5959,-57.8,-119.2,-288.3,122.43,119.06,1
1227.7285,-64.1,-122.2,-288.3,124.47,118.43,1
1227.8633,-47.3,-122.2,-289.3,114.87,119.20,1
1228.0015,-66.2,-127.1,-288.3,122.13,122.24,1
1228.1363,-80.9,-126.1,-285.4,128.46,125.09,1
1228.2713,-87.2,-122.2,-287.4,130.40,126.44,1
1228.4054,-75.6,-125.1,-287.4,125.42,125.22,1
1228.5393,-79.8,-123.1,-288.3,129.92,122.61,1
1228.6736,-69.3,-117.3,-292.2,127.30,120.48,1
1228.8080,-65.1,-121.2,-287.4,125.82,116.80,1
1228.9448,-46.2,-129.0,-287.4,115.42,112.87,1
1229.0654,-45.2,-133.9,-286.4,115.47,112.89,1
1229.1994,-73.5,-132.9,-278.6,126.74,116.28,1
1229.3332,-79.8,-136.8,-284.4,126.75,119.50,1
1229.4661,-66.2,-136.8,-281.5,118.46,120.60,1
1229.6024,-68.3,-135.9,-280.5,120.93,118.69,1
1229.7365,-66.2,-135.9,-287.4,119.65,118.36,1
1229.8701,-57.8,-129.0,-287.4,116.90,117.42,1
1230.0086,-46.2,-133.9,-287.4,108.94,116.23,1
1230.1440,-51.5,-138.8,-286.4,112.55,116.67,1
1230.2772,-69.3,-134.9,-283.5,121.91,118.74,1
1230.4114,-70.4,-130.0,-283.5,123.76,120.52,1
1230.5458,-65.1,-131.0,-287.4,119.68,121.28,1
1230.6813,-70.4,-120.2,-287.4,127.96,120.08,1
1230.8164,-70.4,-116.3,-289.3,132.75,117.99,1
1230.9555,-75.6,-121.2,-288.3,133.10,114.61,0
1231.0878,-48.3,-119.2,-295.2,118.39,112.39,1
1231.2220,-54.6,-129.0,-288.3,119.23,112.98,1
1231.3564,-65.1,-131.9,-284.4,124.31,117.83,1
1231.4893,-93.5,-131.0,-276.6,134.42,123.73,1
1231.6236,-75.6,-122.2,-287.4,127.01,126.30,1
1231.7592,-85.1,-118.3,-291.3,133.75,124.81,1
1231.8922,-80.9,-108.5,-289.3,138.68,123.02,0
1232.0288,-87.2,-113.4,-287.4,138.88,120.37,0
1232.1623,-72.5,-120.2,-289.3,130.16,117.86,1
1232.2962,-76.7,-126.1,-284.4,129.10,118.03,1
1232.4305,-85.1,-131.0,-283.5,132.13,120.79,1
1232.5646,-114.5,-128.0,-269.8,140.78,125.32,0
1232.6964,-108.2,-115.3,-283.5,141.89,128.26,1
1232.8329,-107.1,-113.4,-282.5,143.78,127.72,0
1232.9693,-106.1,-111.4,-288.3,146.30,126.06,0
1233.1012,-110.3,-109.5,-284.4,149.76,124.05,0
1233.2352,-96.6,-116.3,-284.4,141.39,121.08,0
1233.3695,-85.1,-122.2,-286.4,136.22,120.48,0
1233.5050,-94.5,-116.3,-288.3,141.80,121.15,0
1233.6396,-99.8,-109.5,-283.5,146.87,125.39,0
1233.7731,-108.2,-108.5,-285.4,147.97,129.44,0
1233.9065,-109.2,-110.4,-283.5,146.26,130.63,0
1234.0415,-107.1,-109.5,-288.3,147.27,129.01,0
1234.1750,-104.0,-111.4,-288.3,147.51,125.31,0
1234.3067,-104.0,-125.1,-280.5,143.20,123.02,0
1234.4411,-87.2,-117.3,-286.4,137.89,122.71,0
1234.5743,-87.2,-123.1,-286.4,136.25,123.83,1
1234.7085,-109.2,-119.2,-282.5,143.84,126.49,0
1234.8410,-114.5,-114.4,-281.5,146.87,128.28,0
1234.9767,-104.0,-114.4,-285.4,144.75,128.15,0
1235.1114,-99.8,-111.4,-289.3,145.94,125.94,0
1235.2441,-92.4,-107.5,-290.3,146.58,122.09,0
1235.3774,-83.0,-120.2,-287.4,138.30,117.69,0
1235.5119,-71.4,-123.1,-283.5,132.73,115.73,0
1235.6434,-75.6,-128.0,-286.4,133.47,116.60,0
1235.7771,-97.7,-126.1,-279.6,140.95,120.10,0
1235.9110,-93.5,-120.2,-284.4,140.98,123.06,0
1236.0477,-93.5,-115.3,-285.4,143.24,124.13,0
1236.1802,-93.5,-105.6,-290.3,150.02,122.22,0
1236.3136,-106.1,-116.3,-283.5,148.80,119.23,0
1236.4468,-87.2,-121.2,-287.4,141.20,117.24,0
1236.5801,-65.1,-123.1,-290.3,130.81,117.52,1
1236.7144,-73.5,-133.9,-287.4,129.77,119.47,1
1236.8495,-94.5,-129.0,-281.5,137.89,123.24,1
1236.9866,-88.2,-124.1,-287.4,138.57,125.38,1
1237.1207,-87.2,-121.2,-287.4,139.88,125.28,1
1237.2551,-76.7,-111.4,-289.3,140.91,123.72,0
1237.3868,-85.1,-115.3,-287.4,145.22,120.84,0
1237.5203,-68.3,-113.4,-288.3,138.56,116.43,0
1237.6557,-57.8,-121.2,-292.2,132.37,113.72,0
1237.7875,-67.2,-125.1,-289.3,136.27,113.87,0
1237.9251,-90.3,-125.1,-284.4,144.12,116.66,0
1238.0565,-87.2,-116.3,-289.3,146.84,119.67,0
1238.1909,-89.3,-112.4,-289.3,147.36,121.10,0
1238.3231,-95.6,-111.4,-287.4,150.57,121.24,0
1238.4567,-106.1,-114.4,-285.4,151.95,120.46,0
1238.5898,-81.9,-115.3,-292.2,146.00,117.39,0
1238.7226,-67.2,-119.2,-291.3,139.04,115.30,0
1238.8569,-73.5,-127.1,-289.3,138.74,114.70,0
1238.9943,-85.1,-124.1,-283.5,143.22,116.01,0
1239.1267,-75.6,-111.4,-288.3,145.35,117.58,0
1239.2625,-67.2,-107.5,-297.1,145.41,119.05,0
1239.3954,-77.7,-111.4,-293.2,147.10,118.57,0
1239.5274,-79.8,-107.5,-296.1,149.88,116.78,0
1239.6606,-86.1,-114.4,-285.4,148.15,113.28,0
1239.7950,-59.9,-122.2,-290.3,136.41,111.42,0
1239.9306,-63.0,-122.2,-291.3,136.24,112.23,0
1240.0652,-71.4,-130.0,-286.4,136.54,115.03,0
1240.1991,-79.8,-122.2,-288.3,140.92,118.02,0
1240.3329,-67.2,-120.2,-287.4,137.59,119.22,0
1240.4672,-71.4,-113.4,-288.3,142.10,119.29,1
1240.6014,-60.9,-105.6,-295.2,144.01,115.47,0
1240.7334,-55.7,-113.4,-292.2,138.25,111.14,0
1240.8685,-36.8,-124.1,-294.2,124.08,109.75,1
1241.0055,-33.6,-124.1,-292.2,122.14,111.06,1
1241.1380,-56.7,-129.0,-285.4,127.86,117.23,1
1241.2733,-72.5,-121.2,-286.4,132.96,124.05,1
1241.4077,-68.3,-114.4,-294.2,130.05,126.32,1
1241.5418,-63.0,-118.3,-289.3,130.62,125.06,1
1241.6752,-66.2,-110.4,-290.3,137.61,120.93,0
1241.8090,-46.2,-115.3,-293.2,125.67,116.29,1
1241.9472,-26.3,-131.9,-292.2,106.99,113.66,1
1242.0804,-42.0,-131.9,-290.3,116.73,115.94,1
1242.2156,-70.4,-129.0,-283.5,130.24,121.34,1
1242.3497,-89.3,-120.2,-281.5,139.80,125.41,1
1242.4838,-73.5,-119.2,-288.3,131.82,127.19,1
1242.6184,-81.9,-110.4,-288.3,142.57,126.75,0
1242.7521,-74.6,-110.4,-289.3,141.66,122.86,0
1242.8848,-78.8,-123.1,-285.4,140.47,119.26,0
1243.0208,-54.6,-123.1,-293.2,127.92,116.68,1
1243.1553,-63.0,-125.1,-289.3,131.21,118.60,1
1243.2887,-89.3,-130.0,-277.6,139.47,122.21,0
1243.4222,-106.1,-122.2,-279.6,144.87,126.26,0
1243.5575,-85.1,-126.1,-283.5,133.60,130.42,1
1243.6899,-91.4,-126.1,-282.5,136.50,131.39,1
1243.8245,-102.9,-116.3,-285.4,146.21,130.64,0
1243.9610,-100.8,-119.2,-284.4,145.23,126.94,0
1244.0954,-66.2,-122.2,-289.3,127.43,124.80,1
1244.2288,-70.4,-131.0,-284.4,126.11,126.30,1
1244.3630,-83.0,-137.8,-278.6,128.75,128.88,1
1244.4973,-115.5,-138.8,-269.8,139.55,132.55,1
1244.6314,-96.6,-130.0,-277.6,135.27,133.09,1
1244.7656,-93.5,-117.3,-284.4,140.45,133.27,1
1244.9007,-88.2,-117.3,-281.5,141.34,132.10,1
1245.0364,-99.8,-122.2,-285.4,145.28,127.84,0
1245.1713,-70.4,-128.0,-285.4,130.63,125.16,1
1245.3053,-57.8,-131.9,-283.5,123.76,124.72,1
1245.4382,-67.2,-136.8,-280.5,126.17,123.92,1
1245.5727,-71.4,-134.9,-285.4,131.66,124.99,1
1245.7080,-78.8,-128.0,-286.4,135.41,126.78,1
1245.8418,-73.5,-124.1,-285.4,136.57,127.98,1
1245.9787,-69.3,-122.2,-286.4,135.32,127.45,1
1246.1129,-76.7,-118.3,-285.4,140.72,126.54,1
1246.2474,-73.5,-126.1,-284.4,137.22,124.32,1
1246.3814,-66.2,-130.0,-285.4,134.12,122.53,1
1246.5156,-60.9,-130.0,-282.5,132.07,121.03,1
1246.6481,-67.2,-130.0,-284.4,134.45,122.26,1
1246.7818,-70.4,-129.0,-285.4,135.85,124.70,1
1246.9194,-72.5,-124.1,-283.5,138.96,126.97,1
1247.0537,-70.4,-114.4,-289.3,142.01,125.97,0
1247.1856,-77.7,-112.4,-288.3,147.67,124.42,0
1247.3200,-73.5,-111.4,-292.2,146.78,123.25,0
1247.4512,-58.8,-120.2,-291.3,134.79,122.49,1
1247.5854,-51.5,-128.0,-287.4,128.59,124.11,1
1247.7201,-59.9,-122.2,-290.3,134.45,124.56,1
1247.8547,-66.2,-116.3,-291.3,139.70,125.16,1
1247.9917,-66.2,-114.4,-291.3,141.28,127.24,1
1248.1235,-57.8,-106.5,-295.2,141.93,127.32,1
1248.2569,-68.3,-98.7,-296.1,149.40,127.55,0
1248.3910,-75.6,-101.6,-296.1,151.99,126.58,0
1248.5238,-48.3,-103.6,-293.2,140.21,121.96,0
1248.6567,-39.9,-110.4,-294.2,131.63,119.80,1
1248.7896,-55.7,-114.4,-295.2,138.98,121.31,0
1248.9249,-63.0,-104.6,-294.2,143.18,123.21,0
1249.0583,-52.5,-113.4,-296.1,133.86,124.21,1
1249.1909,-46.2,-103.6,-297.1,135.60,123.76,1
1249.3250,-47.3,-102.6,-300.0,138.88,122.67,0
1249.4589,-53.6,-104.6,-296.1,138.48,119.71,0
1249.5902,-25.2,-109.5,-293.2,120.06,118.71,1
1249.7253,-36.8,-114.4,-293.2,125.08,119.80,1
1249.8598,-65.1,-115.3,-292.2,137.45,122.90,1
1249.9951,-62.0,-113.4,-289.3,135.05,126.27,1
1250.1282,-62.0,-114.4,-295.2,132.33,129.53,1
1250.2632,-66.2,-106.5,-292.2,136.51,131.02,1
1250.3969,-73.5,-104.6,-289.3,143.45,130.26,1
1250.5305,-83.0,-114.4,-287.4,141.79,126.41,0
1250.6632,-51.5,-113.4,-287.4,126.62,126.37,1
1250.7981,-55.7,-125.1,-291.3,126.28,128.33,1
1250.9333,-73.5,-123.1,-287.4,132.81,130.04,1
1251.0673,-66.2,-121.2,-282.5,130.21,130.35,1
1251.2014,-67.2,-117.3,-288.3,130.90,131.15,1
1251.3336,-65.1,-117.3,-285.4,131.29,131.32,1
1251.4676,-71.4,-114.4,-286.4,136.02,130.87,1
1251.6030,-80.9,-121.2,-284.4,136.28,128.07,1
1251.7366,-52.5,-124.1,-286.4,123.43,125.13,1
1251.8703,-50.4,-126.1,-283.5,123.05,122.88,1
1252.0069,-56.7,-121.2,-285.4,128.90,122.49,1
1252.1433,-74.6,-119.2,-283.5,135.97,124.41,1
1252.2761,-57.8,-118.3,-291.3,128.08,126.35,1
1252.4099,-52.5,-117.3,-292.2,126.28,125.80,1
1252.5440,-56.7,-113.4,-290.3,130.71,124.68,1
1252.6773,-62.0,-114.4,-289.3,132.49,123.06,1
1252.8120,-37.8,-120.2,-291.3,117.30,121.10,1
1252.9498,-25.2,-127.1,-287.4,108.82,120.85,1
1253.0817,-25.2,-122.2,-291.3,109.41,121.65,1
1253.2165,-42.0,-119.2,-289.3,117.88,123.57,1
1253.3504,-18.9,-120.2,-294.2,100.59,125.41,0
1253.4822,-23.1,-110.4,-299.1,103.85,126.96,0
1253.6152,-37.8,-106.5,-298.1,119.08,126.55,1
1253.7503,-55.7,-115.3,-286.4,127.94,124.77,1
1253.8831,-34.7,-115.3,-293.2,113.43,123.93,1
1254.0200,-27.3,-120.2,-290.3,108.98,125.26,0
1254.1533,-38.9,-123.1,-292.2,113.97,126.89,1
1254.2881,-51.5,-123.1,-290.3,118.42,129.43,1
1254.4221,-38.9,-121.2,-287.4,107.16,133.11,0
1254.5547,-42.0,-117.3,-291.3,109.71,134.58,0
1254.6860,-38.9,-109.5,-295.2,115.31,132.20,0
1254.8192,-33.6,-105.6,-294.2,112.36,127.49,0
1254.9559,5.3,-113.4,-293.2,75.82,124.28,0
1255.0888,14.7,-122.2,-291.3,73.55,124.58,0
1255.2213,-13.7,-118.3,-293.2,93.92,126.39,0
1255.3538,-18.9,-119.2,-291.3,96.06,126.33,0
1255.4867,-20.0,-120.2,-291.3,97.75,127.04,0
1255.6181,-31.5,-110.4,-291.3,107.50,127.51,0
