t,mag_x,mag_y,mag_z,yaw_mag_deg,yaw_filter_deg,accepted
683.1963,-11.6,-104.6,-313.7,90.27,92.37,1
683.3330,-15.8,-105.6,-314.7,92.43,92.37,1
683.4652,-15.8,-104.6,-316.6,92.42,92.37,1
683.6014,-16.8,-105.6,-316.6,92.91,92.39,1
683.7367,-16.8,-106.5,-313.7,92.96,92.40,1
683.8707,-15.8,-110.4,-310.8,92.43,92.38,1
684.0093,-12.6,-104.6,-314.7,90.99,92.33,1
684.1449,-16.8,-108.5,-313.7,93.00,92.36,1
684.2772,-15.8,-108.5,-312.7,92.47,92.36,1
684.4145,-15.8,-105.6,-306.9,92.38,92.34,1
684.5495,-14.7,-106.5,-315.7,91.61,92.33,1
684.6859,-15.8,-108.5,-310.8,92.29,92.33,1
684.8202,-12.6,-106.5,-314.7,90.65,92.26,1
684.9587,-15.8,-107.5,-317.6,92.27,92.25,1
685.0931,-17.9,-104.6,-311.8,93.54,92.29,1
685.2271,-14.7,-111.4,-309.8,91.91,92.27,1
685.3597,-12.6,-103.6,-310.8,91.22,92.23,1
685.4949,-17.9,-106.5,-316.6,93.74,92.28,1
685.6285,-18.9,-106.5,-313.7,94.27,92.33,1
685.7613,-15.8,-107.5,-310.8,92.71,92.34,1
685.8980,-13.7,-109.5,-307.9,91.64,92.29,1
686.0332,-15.8,-109.5,-315.7,92.61,92.29,1
686.1661,-17.9,-106.5,-317.6,93.77,92.33,1
686.3004,-15.8,-108.5,-308.8,92.77,92.34,1
686.4342,-15.8,-105.6,-310.8,92.79,92.34,1
686.5679,-13.7,-104.6,-315.7,91.61,92.31,1
686.7023,-15.8,-108.5,-316.6,92.51,92.32,1
686.8371,-17.9,-102.6,-313.7,93.86,92.36,1
686.9725,-14.7,-107.5,-310.8,92.16,92.35,1
687.1064,-14.7,-108.5,-309.8,92.13,92.36,1
687.2407,-17.9,-102.6,-315.7,94.00,92.40,1
687.3732,-14.7,-108.5,-314.7,92.10,92.39,1
687.5077,-15.8,-107.5,-313.7,92.41,92.39,1
687.6438,-16.8,-108.5,-314.7,93.06,92.40,1
687.7780,-15.8,-106.5,-310.8,92.69,92.48,1
687.9147,-16.8,-106.5,-306.9,93.25,92.54,1
688.0494,-16.8,-108.5,-315.7,93.05,92.55,1
688.1858,-11.6,-107.5,-314.7,90.49,92.48,1
688.3180,-12.6,-108.5,-311.8,91.16,92.45,1
688.4541,-10.5,-106.5,-310.8,90.16,92.37,1
688.5886,-15.8,-107.5,-315.7,92.67,92.38,1
688.7242,-16.8,-107.5,-313.7,93.24,92.39,1
688.8591,-15.8,-107.5,-315.7,92.78,92.40,1
688.9953,-16.8,-106.5,-311.8,93.24,92.42,1
689.1306,-17.9,-107.5,-314.7,93.69,92.45,1
689.2655,-12.6,-109.5,-312.7,91.04,92.42,1
689.4000,-11.6,-110.4,-317.6,90.43,92.37,1
689.5364,-15.8,-103.6,-313.7,92.75,92.34,1
689.6699,-13.7,-106.5,-312.7,91.58,92.29,1
689.8062,-17.9,-105.6,-314.7,93.60,92.32,1
689.9437,-20.0,-109.5,-314.7,94.51,92.38,1
690.0800,-15.8,-107.5,-317.6,92.37,92.38,1
690.2129,-20.0,-108.5,-313.7,94.51,92.43,1
690.3506,-14.7,-110.4,-312.7,91.90,92.41,1
690.4867,-14.7,-106.5,-311.8,91.91,92.39,1
690.6195,-15.8,-103.6,-312.7,92.46,92.29,1
