t,p_hpa,t_c,isa_alt_m,qnh_offset_m,alt_above_ref_m,accepted
990.6700,1008.45,23.5,41.25,+45.93,-49.52,0
990.8075,1008.46,23.5,41.17,+45.93,-49.61,0
990.9448,1008.45,23.5,41.25,+45.62,-49.82,0
991.0773,1008.44,23.5,41.34,+45.62,-49.74,0
991.2142,1008.48,23.5,40.99,+45.62,-50.08,0
991.3489,1008.52,23.5,40.65,+45.62,-50.43,0
991.4810,1008.44,23.5,41.34,+45.62,-49.74,0
991.6168,1008.39,23.5,41.77,+45.62,-49.31,0
991.7537,1008.46,23.5,41.17,+45.62,-49.91,0
991.8879,1008.43,23.5,41.42,+45.62,-49.65,0
992.0135,1008.47,23.5,41.08,+45.37,-50.26,0
992.1472,1008.57,23.5,40.22,+45.37,-51.12,0
992.2794,1008.49,23.5,40.91,+45.37,-50.43,0
992.4152,1008.45,23.5,41.25,+45.37,-50.08,0
992.5510,1008.50,23.5,40.82,+45.37,-50.51,0
992.6857,1008.50,23.5,40.82,+45.37,-50.51,0
992.8189,1008.50,23.5,40.82,+45.37,-50.51,0
992.9461,1008.47,23.5,41.08,+45.16,-50.46,0
993.0789,1008.49,23.5,40.91,+45.16,-50.63,0
993.2135,1008.53,23.5,40.56,+45.16,-50.97,0
993.3499,1008.60,23.6,39.97,+45.16,-51.56,0
993.4845,1008.50,23.6,40.83,+45.16,-50.70,1
993.6179,1008.53,23.6,40.58,+45.16,-50.96,0
993.7550,1008.52,23.6,40.66,+45.16,-50.87,0
993.8894,1008.50,23.6,40.83,+45.16,-50.70,0
994.0266,1008.46,23.6,41.18,+45.03,-50.49,0
994.1621,1008.47,23.6,41.09,+45.03,-50.57,0
994.2959,1008.50,23.6,40.83,+45.03,-50.83,0
994.4320,1008.48,23.6,41.01,+45.03,-50.66,0
994.5668,1008.49,23.6,40.92,+45.03,-50.75,0
994.7005,1008.46,23.6,41.18,+45.03,-50.49,0
994.8370,1008.51,23.6,40.75,+45.03,-50.92,0
994.9746,1008.46,23.6,41.18,+44.90,-50.62,0
995.1107,1008.47,23.6,41.09,+44.90,-50.70,0
995.2471,1008.46,23.6,41.18,+44.90,-50.62,0
995.3802,1008.50,23.6,40.83,+44.90,-50.96,0
995.5150,1008.47,23.6,41.09,+44.90,-50.70,0
995.6507,1008.50,23.6,40.83,+44.90,-50.96,0
995.7864,1008.56,23.6,40.32,+44.90,-51.48,0
995.9226,1008.46,23.6,41.18,+44.85,-50.67,0
996.0579,1008.51,23.6,40.75,+44.85,-51.10,0
996.1949,1008.55,23.6,40.40,+44.85,-51.45,0
996.3268,1008.50,23.6,40.83,+44.85,-51.02,0
996.4617,1008.46,23.6,41.18,+44.85,-50.67,0
996.5976,1008.44,23.6,41.35,+44.85,-50.50,0
996.7309,1008.48,23.6,41.01,+44.85,-50.85,0
996.8674,1008.44,23.6,41.35,+44.85,-50.50,0
996.9938,1008.49,23.6,40.92,+44.90,-50.88,0
997.1257,1008.44,23.6,41.35,+44.90,-50.45,0
997.2628,1008.44,23.6,41.35,+44.90,-50.45,0
997.3985,1008.47,23.6,41.09,+44.90,-50.71,0
997.5325,1008.50,23.6,40.83,+44.90,-50.97,0
997.6650,1008.50,23.6,40.83,+44.90,-50.97,0
997.8027,1008.47,23.6,41.09,+44.90,-50.71,0
997.9398,1008.51,23.6,40.75,+45.02,-50.93,0
998.0721,1008.50,23.6,40.83,+45.02,-50.85,0
998.2087,1008.46,23.6,41.18,+45.02,-50.50,0
998.3437,1008.48,23.6,41.01,+45.02,-50.67,0
998.4769,1008.45,23.6,41.27,+45.02,-50.42,0
998.6125,1008.51,23.6,40.75,+45.02,-50.93,0
998.7472,1008.45,23.6,41.27,+45.02,-50.42,0
998.8849,1008.55,23.6,40.40,+45.02,-51.28,0
999.0199,1008.47,23.6,41.09,+45.20,-50.41,0
999.1539,1008.50,23.6,40.83,+45.20,-50.66,0
999.2903,1008.50,23.6,40.83,+45.20,-50.66,0
999.4248,1008.49,23.6,40.92,+45.20,-50.58,0
999.5584,1008.57,23.6,40.23,+45.20,-51.27,0
999.6945,1008.51,23.6,40.75,+45.20,-50.75,0
999.8288,1008.51,23.6,40.75,+45.20,-50.75,0
999.9543,1008.54,23.6,40.49,+45.33,-50.88,0
1000.0905,1008.50,23.6,40.83,+45.33,-50.53,0
1000.2244,1008.53,23.7,40.59,+45.33,-50.78,0
1000.3603,1008.56,23.7,40.33,+45.33,-51.04,1
1000.4966,1008.53,23.7,40.59,+45.33,-50.78,0
1000.6321,1008.53,23.7,40.59,+45.33,-50.78,0
1000.7656,1008.54,23.7,40.50,+45.33,-50.86,0
1000.9001,1008.53,23.7,40.59,+45.33,-50.78,0
1001.0265,1008.50,23.7,40.85,+45.54,-50.31,0
1001.1599,1008.51,23.7,40.76,+45.54,-50.40,0
1001.2936,1008.51,23.7,40.76,+45.54,-50.40,0
1001.4296,1008.49,23.7,40.93,+45.54,-50.23,0
1001.5642,1008.56,23.7,40.33,+45.54,-50.83,0
1001.6978,1008.51,23.7,40.76,+45.54,-50.40,0
1001.8341,1008.54,23.7,40.50,+45.54,-50.66,0
1001.9719,1008.57,23.7,40.24,+45.78,-50.67,0
1002.1082,1008.55,23.7,40.42,+45.78,-50.50,0
1002.2444,1008.53,23.7,40.59,+45.78,-50.33,0
1002.3799,1008.49,23.7,40.93,+45.78,-49.98,0
1002.5120,1008.50,23.7,40.85,+45.78,-50.07,0
1002.6476,1008.46,23.7,41.19,+45.78,-49.72,0
1002.7834,1008.54,23.7,40.50,+45.78,-50.41,0
1002.9188,1008.53,23.7,40.59,+46.04,-50.07,0
1003.0541,1008.54,23.7,40.50,+46.04,-50.15,0
1003.1923,1008.57,23.7,40.24,+46.04,-50.41,0
1003.3240,1008.47,23.7,41.11,+46.04,-49.55,0
1003.4603,1008.55,23.7,40.42,+46.04,-50.24,0
1003.5963,1008.48,23.7,41.02,+46.04,-49.64,0
1003.7313,1008.55,23.7,40.42,+46.04,-50.24,0
1003.8652,1008.50,23.7,40.85,+46.04,-49.81,0
1003.9916,1008.53,23.7,40.59,+46.26,-49.85,0
1004.1260,1008.56,23.7,40.33,+46.26,-50.11,0
1004.2601,1008.51,23.7,40.76,+46.26,-49.68,0
1004.3952,1008.51,23.7,40.76,+46.26,-49.68,0
1004.5309,1008.51,23.7,40.76,+46.26,-49.68,0
1004.6625,1008.55,23.7,40.42,+46.26,-50.03,0
1004.7992,1008.50,23.7,40.85,+46.26,-49.59,0
1004.9249,1008.48,23.7,41.02,+46.49,-49.19,0
1005.0566,1008.51,23.7,40.76,+46.49,-49.44,0
1005.1931,1008.54,23.7,40.50,+46.49,-49.70,0
1005.3305,1008.53,23.7,40.59,+46.49,-49.62,0
1005.4622,1008.57,23.6,40.23,+46.49,-49.98,0
1005.5971,1008.45,23.6,41.27,+46.49,-48.94,0
1005.7328,1008.52,23.6,40.66,+46.49,-49.54,0
1005.8677,1008.51,23.6,40.75,+46.49,-49.46,0
1006.0031,1008.51,23.6,40.75,+46.71,-49.24,0
1006.1392,1008.48,23.6,41.01,+46.71,-48.98,0
1006.2733,1008.55,23.6,40.40,+46.71,-49.58,0
1006.4074,1008.53,23.6,40.58,+46.71,-49.41,0
1006.5417,1008.56,23.6,40.32,+46.71,-49.67,0
1006.6778,1008.44,23.6,41.35,+46.71,-48.63,0
1006.8107,1008.48,23.6,41.01,+46.71,-48.98,0
1006.9378,1008.49,23.6,40.92,+46.94,-48.84,0
1007.0744,1008.51,23.6,40.75,+46.94,-49.01,0
1007.2071,1008.52,23.6,40.66,+46.94,-49.10,1
1007.3436,1008.48,23.6,41.01,+46.94,-48.75,1
1007.4812,1008.49,23.6,40.92,+46.94,-48.84,1
1007.6136,1008.52,23.6,40.66,+46.94,-49.10,1
1007.7484,1008.52,23.6,40.66,+46.94,-49.10,1
1007.8837,1008.53,23.6,40.58,+46.94,-49.18,1
1008.0206,1008.56,23.6,40.32,+47.25,-49.13,1
1008.1538,1008.50,23.6,40.83,+47.25,-48.62,1
1008.2883,1008.56,23.6,40.32,+47.25,-49.13,1
1008.4210,1008.53,23.6,40.58,+47.25,-48.87,1
1008.5558,1008.57,23.6,40.23,+47.25,-49.22,1
1008.6896,1008.52,23.6,40.66,+47.25,-48.79,1
1008.8227,1008.49,23.6,40.92,+47.25,-48.53,1
1008.9600,1008.45,23.6,41.27,+46.76,-48.67,1
1009.0960,1008.50,23.6,40.83,+46.76,-49.10,1
1009.2290,1008.46,23.6,41.18,+46.76,-48.76,1
1009.3632,1008.48,23.6,41.01,+46.76,-48.93,1
1009.4979,1008.44,23.6,41.35,+46.76,-48.59,1
1009.6319,1008.43,23.6,41.44,+46.76,-48.50,1
1009.7666,1008.50,23.6,40.83,+46.76,-49.10,1
1009.9055,1008.52,23.6,40.66,+46.21,-49.82,1
1010.0389,1008.49,23.6,40.92,+46.21,-49.57,1
1010.1754,1008.58,23.6,40.15,+46.21,-50.34,1
1010.3100,1008.56,23.6,40.32,+46.21,-50.17,1
1010.4432,1008.39,23.6,41.78,+46.21,-48.70,1
1010.5779,1008.52,23.6,40.66,+46.21,-49.82,1
1010.7139,1008.51,23.6,40.75,+46.21,-49.74,1
1010.8468,1008.52,23.6,40.66,+46.21,-49.82,1
1010.9838,1008.53,23.6,40.58,+45.67,-50.46,1
1011.1182,1008.52,23.6,40.66,+45.67,-50.37,1
1011.2521,1008.52,23.6,40.66,+45.67,-50.37,1
1011.3864,1008.54,23.6,40.49,+45.67,-50.54,1
1011.5209,1008.55,23.6,40.40,+45.67,-50.63,1
1011.6536,1008.51,23.6,40.75,+45.67,-50.28,1
1011.7887,1008.52,23.6,40.66,+45.67,-50.37,1
1011.9266,1008.52,23.6,40.66,+45.10,-50.94,1
1012.0598,1008.52,23.6,40.66,+45.10,-50.94,1
1012.1937,1008.51,23.6,40.75,+45.10,-50.85,1
1012.3286,1008.50,23.6,40.83,+45.10,-50.77,1
1012.4604,1008.56,23.6,40.32,+45.10,-51.28,1
1012.5935,1008.52,23.6,40.66,+45.10,-50.94,1
1012.7274,1008.57,23.6,40.23,+45.10,-51.37,1
1012.8608,1008.52,23.6,40.66,+45.10,-50.94,1
1012.9979,1008.48,23.6,41.01,+44.52,-51.17,1
1013.1320,1008.46,23.6,41.18,+44.52,-51.00,1
1013.2648,1008.43,23.6,41.44,+44.52,-50.74,1
1013.4007,1008.47,23.6,41.09,+44.52,-51.08,1
1013.5350,1008.57,23.6,40.23,+44.52,-51.94,1
1013.6670,1008.52,23.6,40.66,+44.52,-51.51,1
1013.8015,1008.55,23.6,40.40,+44.52,-51.77,1
1013.9401,1008.45,23.6,41.27,+43.93,-51.50,1
1014.0722,1008.48,23.6,41.01,+43.93,-51.76,1
1014.2062,1008.45,23.5,41.25,+43.93,-51.52,1
1014.3396,1008.49,23.5,40.91,+43.93,-51.86,1
1014.4720,1008.52,23.5,40.65,+43.93,-52.12,1
1014.6055,1008.48,23.5,40.99,+43.93,-51.78,1
1014.7394,1008.53,23.5,40.56,+43.93,-52.21,1
1014.8738,1008.54,23.5,40.48,+43.93,-52.29,1
1015.0094,1008.53,23.5,40.56,+43.40,-52.74,1
1015.1421,1008.53,23.5,40.56,+43.40,-52.74,1
1015.2754,1008.53,23.5,40.56,+43.40,-52.74,1
1015.4071,1008.47,23.5,41.08,+43.40,-52.22,1
1015.5421,1008.55,23.5,40.39,+43.40,-52.91,1
1015.6754,1008.54,23.5,40.48,+43.40,-52.83,1
1015.8073,1008.51,23.5,40.73,+43.40,-52.57,1
1015.9450,1008.57,23.5,40.22,+42.80,-53.68,1
1016.0777,1008.44,23.5,41.34,+42.80,-52.56,1
1016.2091,1008.50,23.5,40.82,+42.80,-53.08,1
1016.3431,1008.53,23.4,40.55,+42.80,-53.35,1
1016.4768,1008.56,23.5,40.30,+42.80,-53.60,1
1016.6114,1008.54,23.5,40.48,+42.80,-53.43,1
1016.7433,1008.53,23.4,40.55,+42.80,-53.35,1
1016.8774,1008.54,23.5,40.48,+42.80,-53.43,1
1017.0131,1008.44,23.4,41.32,+42.16,-53.21,1
1017.1475,1008.54,23.4,40.46,+42.16,-54.07,1
1017.2812,1008.55,23.4,40.38,+42.16,-54.16,1
1017.4144,1008.55,23.4,40.38,+42.16,-54.16,1
1017.5463,1008.48,23.4,40.98,+42.16,-53.56,1
1017.6809,1008.49,23.4,40.89,+42.16,-53.64,1
1017.8149,1008.58,23.4,40.12,+42.16,-54.42,1
1017.9517,1008.39,23.4,41.76,+41.51,-53.43,1
1018.0838,1008.55,23.4,40.38,+41.51,-54.81,1
1018.2188,1008.62,23.4,39.77,+41.51,-55.41,1
1018.3522,1008.46,23.4,41.15,+41.51,-54.04,1
1018.4839,1008.49,23.4,40.89,+41.51,-54.29,1
1018.6173,1008.39,23.3,41.74,+41.51,-53.45,1
1018.7519,1008.55,23.4,40.38,+41.51,-54.81,1
1018.8839,1008.55,23.4,40.38,+41.51,-54.81,1
1019.0194,1008.54,23.4,40.46,+40.84,-55.40,1
1019.1528,1008.65,23.4,39.52,+40.84,-56.34,1
1019.2860,1008.48,23.4,40.98,+40.84,-54.88,1
1019.4194,1008.52,23.4,40.64,+40.84,-55.22,1
1019.5526,1008.56,23.4,40.29,+40.84,-55.57,1
1019.6845,1008.29,23.3,42.60,+40.84,-53.26,1
1019.8196,1008.52,23.4,40.64,+40.84,-55.22,1
1019.9559,1008.38,23.4,41.84,+40.18,-54.67,1
1020.0876,1008.43,23.3,41.40,+40.18,-55.12,1
1020.2218,1008.48,23.4,40.98,+40.18,-55.54,1
1020.3565,1008.49,23.4,40.89,+40.18,-55.62,1
1020.4897,1008.49,23.4,40.89,+40.18,-55.62,1
1020.6225,1008.46,23.4,41.15,+40.18,-55.36,1
1020.7561,1008.39,23.4,41.76,+40.18,-54.76,1
1020.8913,1008.46,23.4,41.15,+40.18,-55.36,1
1021.0262,1008.45,23.4,41.24,+39.62,-55.85,1
1021.1600,1008.44,23.4,41.32,+39.62,-55.76,1
1021.2937,1008.51,23.4,40.72,+39.62,-56.36,1
1021.4267,1008.48,23.4,40.98,+39.62,-56.10,1
1021.5599,1008.46,23.4,41.15,+39.62,-55.93,1
1021.6937,1008.48,23.4,40.98,+39.62,-56.10,1
1021.8255,1008.45,23.4,41.24,+39.62,-55.85,1
1021.9624,1008.48,23.4,40.98,+39.02,-56.70,1
1022.0950,1008.45,23.4,41.24,+39.02,-56.44,1
1022.2288,1008.44,23.4,41.32,+39.02,-56.36,1
1022.3604,1008.46,23.4,41.15,+39.02,-56.53,1
1022.4948,1008.39,23.4,41.76,+39.02,-55.93,1
1022.6281,1008.44,23.4,41.32,+39.02,-56.36,1
1022.7598,1008.48,23.4,40.98,+39.02,-56.70,1
1022.8937,1008.43,23.4,41.41,+39.02,-56.27,1
1023.0188,1008.45,23.4,41.24,+38.41,-57.05,1
1023.1502,1008.47,23.4,41.07,+38.41,-57.23,1
1023.2838,1008.44,23.4,41.32,+38.41,-56.97,1
1023.4172,1008.44,23.4,41.32,+38.41,-56.97,1
1023.5521,1008.47,23.4,41.07,+38.41,-57.23,1
1023.6838,1008.37,23.4,41.93,+38.41,-56.36,1
1023.8175,1008.45,23.4,41.24,+38.41,-57.05,1
1023.9549,1008.56,23.4,40.29,+37.85,-58.56,1
1024.0895,1008.37,23.3,41.91,+37.85,-56.94,1
1024.2232,1008.49,23.4,40.89,+37.85,-57.96,1
1024.3563,1008.48,23.4,40.98,+37.85,-57.87,1
1024.4882,1008.43,23.4,41.41,+37.85,-57.44,1
1024.6229,1008.45,23.4,41.24,+37.85,-57.61,1
1024.7560,1008.44,23.4,41.32,+37.85,-57.53,1
1024.8878,1008.45,23.4,41.24,+37.85,-57.61,1
1025.0247,1008.38,23.4,41.84,+37.31,-57.55,1
1025.1597,1008.38,23.4,41.84,+37.31,-57.55,1
1025.2912,1008.44,23.4,41.32,+37.31,-58.07,1
1025.4249,1008.47,23.4,41.07,+37.31,-58.33,1
1025.5582,1008.43,23.4,41.41,+37.31,-57.98,1
1025.6927,1008.44,23.4,41.32,+37.31,-58.07,1
1025.8247,1008.39,23.4,41.76,+37.31,-57.64,1
1025.9612,1008.48,23.4,40.98,+36.76,-58.96,1
1026.0949,1008.43,23.4,41.41,+36.76,-58.53,1
1026.2280,1008.44,23.4,41.32,+36.76,-58.62,1
1026.3612,1008.44,23.4,41.32,+36.76,-58.62,1
1026.4948,1008.46,23.4,41.15,+36.76,-58.79,1
1026.6266,1008.44,23.4,41.32,+36.76,-58.62,1
1026.7600,1008.44,23.4,41.32,+36.76,-58.62,1
1026.8934,1008.38,23.4,41.84,+36.76,-58.10,1
1027.0277,1008.38,23.4,41.84,+36.31,-58.55,1
1027.1612,1008.39,23.4,41.76,+36.31,-58.64,1
1027.2960,1008.39,23.4,41.76,+36.31,-58.64,1
1027.4276,1008.38,23.4,41.84,+36.31,-58.55,1
1027.5619,1008.37,23.4,41.93,+36.31,-58.46,1
1027.6956,1008.37,23.4,41.93,+36.31,-58.46,1
1027.8287,1008.43,23.4,41.41,+36.31,-58.98,1
1027.9650,1008.44,23.4,41.32,+36.00,-59.38,1
1028.0986,1008.36,23.4,42.01,+36.00,-58.69,1
1028.2306,1008.37,23.4,41.93,+36.00,-58.78,1
1028.3649,1008.44,23.4,41.32,+36.00,-59.38,1
1028.4983,1008.45,23.4,41.24,+36.00,-59.47,1
1028.6314,1008.45,23.4,41.24,+36.00,-59.47,1
1028.7635,1008.34,23.4,42.19,+36.00,-58.52,1
1028.8973,1008.45,23.4,41.24,+36.00,-59.47,1
1029.0326,1008.45,23.4,41.24,+35.73,-59.73,1
1029.1644,1008.35,23.4,42.10,+35.73,-58.87,1
1029.2980,1008.35,23.4,42.10,+35.73,-58.87,1
1029.4323,1008.45,23.4,41.24,+35.73,-59.73,1
1029.5634,1008.32,23.4,42.36,+35.73,-58.61,1
1029.6971,1008.37,23.4,41.93,+35.73,-59.04,1
1029.8309,1008.35,23.4,42.10,+35.73,-58.87,1
1029.9688,1008.36,23.3,42.00,+35.47,-59.23,1
1030.1007,1008.44,23.4,41.32,+35.47,-59.91,1
1030.2345,1008.39,23.4,41.76,+35.47,-59.48,1
1030.3677,1008.49,23.4,40.89,+35.47,-60.34,1
1030.5004,1008.33,23.3,42.26,+35.47,-58.97,1
1030.6336,1008.28,23.4,42.70,+35.47,-58.53,1
1030.7671,1008.35,23.4,42.10,+35.47,-59.13,1
1030.8990,1008.37,23.4,41.93,+35.47,-59.30,1
1031.0248,1008.37,23.4,41.93,+35.28,-59.49,1
1031.1576,1008.35,23.4,42.10,+35.28,-59.32,1
1031.2910,1008.38,23.4,41.84,+35.28,-59.58,1
1031.4228,1008.39,23.4,41.76,+35.28,-59.67,1
1031.5575,1008.44,23.4,41.32,+35.28,-60.10,1
1031.6911,1008.37,23.4,41.93,+35.28,-59.49,1
1031.8233,1008.37,23.4,41.93,+35.28,-59.49,1
1031.9599,1008.36,23.4,42.01,+35.14,-59.54,1
1032.0959,1008.31,23.4,42.44,+35.14,-59.11,1
1032.2278,1008.44,23.4,41.32,+35.14,-60.23,1
1032.3610,1008.45,23.4,41.24,+35.14,-60.32,1
1032.4946,1008.37,23.4,41.93,+35.14,-59.63,1
1032.6270,1008.45,23.4,41.24,+35.14,-60.32,1
1032.7603,1008.33,23.4,42.27,+35.14,-59.28,1
1032.8941,1008.43,23.4,41.41,+35.14,-60.15,1
1033.0286,1008.46,23.4,41.15,+35.00,-60.54,1
1033.1626,1008.35,23.4,42.10,+35.00,-59.60,1
1033.2952,1008.30,23.4,42.53,+35.00,-59.16,1
1033.4286,1008.26,23.4,42.88,+35.00,-58.82,1
1033.5604,1008.43,23.4,41.41,+35.00,-60.28,1
1033.6952,1008.44,23.4,41.32,+35.00,-60.37,1
1033.8290,1008.34,23.4,42.19,+35.00,-59.51,1
1033.9638,1008.34,23.4,42.19,+34.93,-59.58,1
1034.0977,1008.38,23.4,41.84,+34.93,-59.93,1
1034.2337,1008.33,23.4,42.27,+34.93,-59.50,1
1034.3653,1008.37,23.4,41.93,+34.93,-59.84,1
1034.5001,1008.39,23.4,41.76,+34.93,-60.01,1
1034.6333,1008.35,23.4,42.10,+34.93,-59.67,1
1034.7678,1008.31,23.4,42.44,+34.93,-59.33,1
1034.9001,1008.32,23.3,42.34,+34.93,-59.43,1
1035.0349,1008.34,23.3,42.17,+34.87,-59.65,1
1035.1682,1008.34,23.3,42.17,+34.87,-59.65,1
1035.3014,1008.35,23.3,42.09,+34.87,-59.74,1
1035.4364,1008.38,23.3,41.83,+34.87,-60.00,1
1035.5694,1008.30,23.3,42.52,+34.87,-59.31,1
1035.7010,1008.29,23.3,42.60,+34.87,-59.22,1
1035.8363,1008.33,23.3,42.26,+34.87,-59.57,1
1035.9714,1008.31,23.3,42.43,+34.87,-59.40,1
1036.1032,1008.30,23.3,42.52,+34.87,-59.31,1
1036.2370,1008.30,23.3,42.52,+34.87,-59.31,1
1036.3715,1008.34,23.3,42.17,+34.87,-59.65,1
1036.5047,1008.36,23.3,42.00,+34.87,-59.83,1
1036.6363,1008.36,23.3,42.00,+34.87,-59.83,1
1036.7700,1008.47,23.3,41.05,+34.87,-60.77,1
1036.9081,1008.38,23.3,41.83,+34.86,-60.01,1
1037.0407,1008.31,23.3,42.43,+34.86,-59.41,1
1037.1747,1008.30,23.3,42.52,+34.86,-59.33,1
1037.3081,1008.38,23.3,41.83,+34.86,-60.01,1
1037.4404,1008.44,23.3,41.31,+34.86,-60.53,1
1037.5736,1008.37,23.3,41.91,+34.86,-59.93,1
1037.7072,1008.30,23.3,42.52,+34.86,-59.33,1
1037.8409,1008.39,23.3,41.74,+34.86,-60.10,1
1037.9780,1008.35,23.3,42.09,+34.77,-59.84,1
1038.1111,1008.32,23.3,42.34,+34.77,-59.58,1
1038.2430,1008.33,23.3,42.26,+34.77,-59.67,1
1038.3760,1008.44,23.3,41.31,+34.77,-60.62,1
1038.5103,1008.35,23.3,42.09,+34.77,-59.84,1
1038.6413,1008.32,23.3,42.34,+34.77,-59.58,1
1038.7731,1008.34,23.3,42.17,+34.77,-59.75,1
1038.9103,1008.44,23.3,41.31,+34.67,-60.72,1
1039.0441,1008.39,23.3,41.74,+34.67,-60.29,1
1039.1768,1008.44,23.3,41.31,+34.67,-60.72,1
1039.3111,1008.45,23.3,41.22,+34.67,-60.80,1
1039.4455,1008.46,23.3,41.14,+34.67,-60.89,1
1039.5795,1008.36,23.3,42.00,+34.67,-60.03,1
1039.7140,1008.38,23.3,41.83,+34.67,-60.20,1
1039.8491,1008.34,23.3,42.17,+34.67,-59.85,1
1039.9858,1008.44,23.3,41.31,+34.57,-60.82,1
1040.1206,1008.43,23.3,41.40,+34.57,-60.73,1
1040.2547,1008.31,23.3,42.43,+34.57,-59.70,1
1040.3873,1008.38,23.3,41.83,+34.57,-60.30,1
1040.5218,1008.43,23.3,41.40,+34.57,-60.73,1
1040.6574,1008.39,23.3,41.74,+34.57,-60.39,1
1040.7906,1008.43,23.3,41.40,+34.57,-60.73,1
1040.9291,1008.44,23.3,41.31,+34.46,-60.93,1
1041.0638,1008.39,23.3,41.74,+34.46,-60.50,1
1041.1968,1008.44,23.3,41.31,+34.46,-60.93,1
1041.3310,1008.35,23.3,42.09,+34.46,-60.15,1
1041.4654,1008.37,23.3,41.91,+34.46,-60.32,1
1041.5980,1008.43,23.3,41.40,+34.46,-60.84,1
1041.7323,1008.34,23.3,42.17,+34.46,-60.06,1
1041.8668,1008.45,23.3,41.22,+34.46,-61.01,1
1042.0034,1008.35,23.3,42.09,+34.35,-60.27,1
1042.1384,1008.46,23.3,41.14,+34.35,-61.22,1
1042.2742,1008.31,23.3,42.43,+34.35,-59.92,1
1042.4067,1008.37,23.3,41.91,+34.35,-60.44,1
1042.5408,1008.46,23.3,41.14,+34.35,-61.22,1
1042.6753,1008.39,23.3,41.74,+34.35,-60.61,1
1042.8100,1008.27,23.3,42.77,+34.35,-59.58,1
1042.9485,1008.33,23.3,42.26,+34.15,-60.29,1
1043.0839,1008.37,23.3,41.91,+34.15,-60.63,1
1043.2174,1008.35,23.3,42.09,+34.15,-60.46,1
1043.3516,1008.39,23.3,41.74,+34.15,-60.80,1
1043.4853,1008.38,23.3,41.83,+34.15,-60.72,1
1043.6179,1008.35,23.2,42.07,+34.15,-60.47,1
1043.7527,1008.35,23.2,42.07,+34.15,-60.47,1
1043.8889,1008.36,23.2,41.99,+34.15,-60.56,1
1044.0252,1008.38,23.2,41.81,+33.95,-60.94,1
1044.1598,1008.39,23.2,41.73,+33.95,-61.03,1
1044.2952,1008.32,23.2,42.33,+33.95,-60.42,1
1044.4287,1008.37,23.2,41.90,+33.95,-60.85,1
1044.5629,1008.26,23.2,42.85,+33.95,-59.91,1
1044.6968,1008.46,23.2,41.12,+33.95,-61.63,1
1044.8300,1008.45,23.2,41.21,+33.95,-61.54,1
1044.9687,1008.48,23.2,40.95,+33.76,-61.99,1
1045.1034,1008.51,23.2,40.69,+33.76,-62.25,1
1045.2372,1008.38,23.2,41.81,+33.76,-61.13,1
1045.3718,1008.36,23.2,41.99,+33.76,-60.96,1
1045.5074,1008.43,23.2,41.38,+33.76,-61.56,1
1045.6400,1008.34,23.2,42.16,+33.76,-60.78,1
1045.7744,1008.36,23.2,41.99,+33.76,-60.96,1
1045.9128,1008.43,23.2,41.38,+33.48,-61.83,1
1046.0473,1008.38,23.2,41.81,+33.48,-61.40,1
1046.1818,1008.32,23.1,42.32,+33.48,-60.90,1
1046.3162,1008.39,23.1,41.71,+33.48,-61.50,1
1046.4495,1008.44,23.1,41.28,+33.48,-61.93,1
1046.5848,1008.37,23.1,41.88,+33.48,-61.33,1
1046.7191,1008.35,23.1,42.06,+33.48,-61.16,1
1046.8522,1008.35,23.1,42.06,+33.48,-61.16,1
1046.9895,1008.43,23.1,41.37,+33.21,-62.12,1
1047.1251,1008.39,23.1,41.71,+33.21,-61.78,1
1047.2648,1008.36,23.1,41.97,+33.21,-61.52,1
1047.3927,1008.39,23.1,41.71,+33.21,-61.78,1
1047.5262,1008.37,23.1,41.88,+33.21,-61.61,1
1047.6599,1008.31,23.1,42.40,+33.21,-61.09,1
1047.7933,1008.39,23.1,41.71,+33.21,-61.78,1
1047.9288,1008.37,23.1,41.88,+32.96,-61.86,1
1048.0624,1008.45,23.1,41.20,+32.96,-62.55,1
1048.1966,1008.37,23.1,41.88,+32.96,-61.86,1
1048.3306,1008.36,23.1,41.97,+32.96,-61.77,1
1048.4640,1008.35,23.1,42.06,+32.96,-61.69,1
1048.5971,1008.34,23.1,42.14,+32.96,-61.60,1
1048.7309,1008.34,23.1,42.14,+32.96,-61.60,1
1048.8643,1008.35,23.1,42.06,+32.96,-61.69,1
1048.9995,1008.36,23.1,41.97,+32.67,-62.05,1
1049.1328,1008.33,23.1,42.23,+32.67,-61.80,1
1049.2668,1008.39,23.1,41.71,+32.67,-62.31,1
1049.3999,1008.43,23.1,41.37,+32.67,-62.66,1
1049.5327,1008.39,23.1,41.71,+32.67,-62.31,1
1049.6657,1008.33,23.1,42.23,+32.67,-61.80,1
1049.8000,1008.34,23.1,42.14,+32.67,-61.88,1
1049.9352,1008.38,23.1,41.80,+32.37,-62.53,1
1050.0684,1008.33,23.1,42.23,+32.37,-62.10,1
1050.2021,1008.39,23.1,41.71,+32.37,-62.61,1
1050.3360,1008.35,23.1,42.06,+32.37,-62.27,1
1050.4689,1008.30,23.1,42.49,+32.37,-61.84,1
1050.6018,1008.30,23.1,42.49,+32.37,-61.84,1
1050.7352,1008.28,23.1,42.66,+32.37,-61.67,1
1050.8695,1008.38,23.1,41.80,+32.37,-62.53,1
1051.0046,1008.37,23.1,41.88,+32.05,-62.77,1
1051.1382,1008.37,23.1,41.88,+32.05,-62.77,1
