t,lat_deg,lon_deg,alt_m,vN,vE,hdop,accepted,course_deg,yaw_std_deg,yaw_accepted
2084.9130,52.0484090,-0.7488270,133.90,-1.082,0.466,0.94,1,156.7,4.85,0
2085.9152,52.0484098,-0.7488290,133.90,-1.082,0.466,1.14,1,156.7,4.85,0
2086.9116,52.0484120,-0.7488325,133.80,-1.082,0.466,1.14,1,156.7,4.85,0
2087.8789,52.0484130,-0.7488483,134.30,-1.082,0.466,1.10,1,156.7,4.85,0
2088.9226,52.0484098,-0.7488555,135.20,-1.082,0.466,1.14,1,156.7,4.85,0
2089.8995,52.0484113,-0.7488585,135.20,-1.082,0.466,1.14,1,156.7,4.85,0
2090.9160,52.0484137,-0.7488600,135.00,-1.082,0.466,1.14,1,156.7,4.85,0
2091.9097,52.0484120,-0.7488730,136.00,-1.082,0.466,1.10,1,156.7,4.85,0
2092.8760,52.0484093,-0.7488888,137.30,-1.082,0.466,1.10,1,156.7,4.85,0
2093.9225,52.0484042,-0.7489057,139.10,-1.082,0.466,1.10,1,156.7,4.85,0
2094.8887,52.0484058,-0.7489098,139.20,-1.082,0.466,1.14,1,156.7,4.85,0
2095.9080,52.0484060,-0.7489105,139.40,-1.082,0.466,1.14,1,156.7,4.85,0
2096.9155,52.0484052,-0.7489180,140.00,-1.082,0.466,1.14,1,156.7,4.85,0
2097.9036,52.0484078,-0.7489152,139.60,-1.082,0.466,1.22,1,156.7,4.85,0
2098.9158,52.0484105,-0.7489148,139.20,-1.082,0.466,1.22,1,156.7,4.85,0
2099.8967,52.0484130,-0.7489122,138.70,-1.082,0.466,1.22,1,156.7,4.85,0
2100.9120,52.0484187,-0.7489075,137.50,-1.082,0.466,1.22,1,156.7,4.85,0
2101.9082,52.0484267,-0.7488990,135.80,-1.082,0.466,1.22,1,156.7,4.85,0
2102.8723,52.0484303,-0.7488985,135.30,-1.082,0.466,1.22,1,156.7,4.85,0
2103.9033,52.0484328,-0.7489017,135.00,-1.082,0.466,1.22,1,156.7,4.85,0
2104.8981,52.0484358,-0.7489063,134.80,-1.082,0.466,1.22,1,156.7,4.85,0
2105.9116,52.0484418,-0.7489033,133.50,-1.082,0.466,1.22,1,156.7,4.85,0
2106.9106,52.0484457,-0.7489028,132.90,-1.082,0.466,1.22,1,156.7,4.85,0
2107.8915,52.0484493,-0.7489008,132.10,-1.082,0.466,1.22,1,156.7,4.85,0
2108.9108,52.0484530,-0.7488978,131.40,-1.082,0.466,1.22,1,156.7,4.85,0
2109.9074,52.0484573,-0.7488940,130.40,-1.082,0.466,1.21,1,156.7,4.85,0
2110.9082,52.0484623,-0.7488902,129.30,-1.082,0.466,1.21,1,156.7,4.85,0
2111.9061,52.0484670,-0.7488882,128.40,-1.082,0.466,1.21,1,156.7,4.85,0
2112.8857,52.0484710,-0.7488847,127.50,-1.082,0.466,1.21,1,156.7,4.85,0
2113.9047,52.0484742,-0.7488838,127.00,-1.082,0.466,1.03,1,156.7,4.85,0
2114.9126,52.0484785,-0.7488840,126.20,-1.082,0.466,1.03,1,156.7,4.85,0
2115.8766,52.0484840,-0.7488753,124.50,-1.082,0.466,1.03,1,156.7,4.85,0
2116.9098,52.0484877,-0.7488660,123.40,-1.082,0.466,1.03,1,156.7,4.85,0
2117.8908,52.0484877,-0.7488647,123.40,-1.082,0.466,1.03,1,156.7,4.85,0
2118.9249,52.0484910,-0.7488597,122.50,-1.082,0.466,1.03,1,156.7,4.85,0
2119.9206,52.0484963,-0.7488590,121.50,-1.082,0.466,1.11,1,156.7,4.85,0
2120.8868,52.0484970,-0.7488662,121.80,-1.082,0.466,1.09,1,156.7,4.85,0
2121.9206,52.0484968,-0.7488687,122.00,-1.082,0.466,1.11,1,156.7,4.85,0
2122.9142,52.0484940,-0.7488785,122.70,-1.082,0.466,1.11,1,156.7,4.85,0
2123.9194,52.0484908,-0.7488917,123.80,-1.082,0.466,1.11,1,156.7,4.85,0
2124.9176,52.0484913,-0.7488967,123.90,-1.082,0.466,1.11,1,156.7,4.85,0
2125.8865,52.0484872,-0.7488958,124.70,-1.082,0.466,1.11,1,156.7,4.85,0
2126.9200,52.0484818,-0.7489008,125.80,-1.082,0.466,1.11,1,156.7,4.85,0
2127.9149,52.0484743,-0.7489200,128.10,-1.082,0.466,1.00,1,156.7,4.85,0
2128.8833,52.0484702,-0.7489412,129.80,-1.018,-0.514,1.00,1,206.8,5.01,0
2129.9161,52.0484682,-0.7489625,131.10,-0.643,-1.117,1.00,1,240.1,4.44,0
2130.9005,52.0484645,-0.7489895,133.00,-0.440,-1.504,1.00,1,253.7,3.65,0
2131.9184,52.0484590,-0.7490120,135.10,-0.393,-1.231,1.00,1,252.3,4.42,0
2132.9153,52.0484542,-0.7490428,137.50,-0.427,-1.727,1.00,1,256.1,3.22,0
2133.8815,52.0484547,-0.7490570,138.00,-0.302,-1.308,1.11,1,257.0,4.26,0
2134.9137,52.0484535,-0.7490582,138.30,-0.302,-1.308,1.11,1,257.0,4.26,0
2135.9062,52.0484510,-0.7490623,139.00,-0.302,-1.308,1.11,1,257.0,4.26,0
2136.9125,52.0484503,-0.7490610,139.00,-0.302,-1.308,1.11,1,257.0,4.26,0
2137.9070,52.0484483,-0.7490595,139.20,-0.302,-1.308,1.11,1,257.0,4.26,0
2138.8847,52.0484487,-0.7490565,139.00,-0.302,-1.308,1.11,1,257.0,4.26,0
2139.9021,52.0484530,-0.7490535,138.10,-0.302,-1.308,1.11,1,257.0,4.26,0
2140.8992,52.0484555,-0.7490477,137.40,-0.302,-1.308,1.11,1,257.0,4.26,0
2141.8995,52.0484535,-0.7490522,138.00,-0.302,-1.308,1.11,1,257.0,4.26,0
2142.9076,52.0484535,-0.7490525,138.00,-0.302,-1.308,1.11,1,257.0,4.26,0
2143.8751,52.0484523,-0.7490525,138.40,-0.302,-1.308,1.11,1,257.0,4.26,0
2144.9075,52.0484525,-0.7490500,138.20,-0.302,-1.308,1.00,1,257.0,4.26,0
2145.9160,52.0484532,-0.7490382,137.60,-0.302,-1.308,1.00,1,257.0,4.26,0
2146.9139,52.0484545,-0.7490297,137.00,-0.302,-1.308,1.00,1,257.0,4.26,0
2147.9145,52.0484617,-0.7490090,134.80,-0.302,-1.308,1.00,1,257.0,4.26,0
2148.8793,52.0484627,-0.7489983,134.20,-0.302,-1.308,1.00,1,257.0,4.26,0
2149.9082,52.0484635,-0.7489895,133.70,-0.302,-1.308,1.00,1,257.0,4.26,0
2150.9150,52.0484625,-0.7489853,133.60,-0.302,-1.308,1.00,1,257.0,4.26,0
2151.9154,52.0484673,-0.7489745,132.20,-0.302,-1.308,1.00,1,257.0,4.26,0
2152.9134,52.0484660,-0.7489720,132.40,-0.302,-1.308,1.00,1,257.0,4.26,0
2153.8968,52.0484660,-0.7489740,132.40,-0.302,-1.308,1.00,1,257.0,4.26,0
2154.9186,52.0484712,-0.7489643,131.10,-0.302,-1.308,1.00,1,257.0,4.26,0
2155.9093,52.0484690,-0.7489655,131.40,-0.302,-1.308,1.00,1,257.0,4.26,0
2156.9094,52.0484665,-0.7489743,132.20,-0.302,-1.308,1.00,1,257.0,4.26,0
2157.9231,52.0484670,-0.7489690,131.60,-0.302,-1.308,0.89,1,257.0,4.26,0
2158.9052,52.0484750,-0.7489553,129.30,-0.302,-1.308,0.89,1,257.0,4.26,0
2159.9224,52.0484840,-0.7489388,126.80,-0.302,-1.308,0.98,1,257.0,4.26,0
2160.9154,52.0484885,-0.7489190,125.10,-0.302,-1.308,0.96,1,257.0,4.26,0
2161.8816,52.0484895,-0.7489148,124.70,-0.302,-1.308,0.96,1,257.0,4.26,0
2162.9134,52.0484938,-0.7489063,123.40,-0.302,-1.308,0.89,1,257.0,4.26,0
2163.9097,52.0485027,-0.7488805,120.50,1.254,-0.255,0.98,1,348.5,4.47,1
2164.9097,52.0485100,-0.7488573,118.10,1.254,-0.255,0.98,1,348.5,4.47,1
2165.9075,52.0485152,-0.7488482,116.80,1.254,-0.255,1.23,1,348.5,4.47,1
2166.9014,52.0485185,-0.7488380,115.60,1.254,-0.255,0.98,1,348.5,4.47,1
2167.9191,52.0485223,-0.7488283,114.40,1.254,-0.255,0.98,1,348.5,4.47,1
2168.9153,52.0485298,-0.7488160,112.40,1.254,-0.255,0.98,1,348.5,4.47,1
2169.9185,52.0485382,-0.7488018,110.20,1.254,-0.255,0.98,1,348.5,4.47,1
2170.9178,52.0485468,-0.7487877,107.80,1.254,-0.255,0.98,1,348.5,4.47,1
2171.8994,52.0485493,-0.7487813,106.90,1.254,-0.255,0.98,1,348.5,4.47,1
2172.9172,52.0485560,-0.7487652,104.80,1.089,0.500,0.98,1,24.7,4.77,0
2173.9125,52.0485605,-0.7487512,103.30,0.869,0.789,0.98,1,42.2,4.87,0
2174.8803,52.0485662,-0.7487272,101.10,0.774,1.462,0.98,1,62.1,3.46,0
2175.9118,52.0485682,-0.7487162,100.20,0.527,1.024,0.98,1,62.8,4.96,0
2176.8922,52.0485702,-0.7487110,99.50,0.527,1.024,0.98,1,62.8,4.96,0
2177.9242,52.0485697,-0.7487077,99.40,0.527,1.024,0.98,1,62.8,4.96,0
2178.9183,52.0485677,-0.7487130,100.00,0.527,1.024,0.98,1,62.8,4.96,0
2179.9193,52.0485658,-0.7487193,100.50,0.527,1.024,0.98,1,62.8,4.96,0
2180.9184,52.0485642,-0.7487202,100.70,0.527,1.024,0.98,1,62.8,4.96,0
2181.9098,52.0485655,-0.7487203,100.30,0.527,1.024,0.98,1,62.8,4.96,0
2182.9160,52.0485628,-0.7487253,101.00,0.527,1.024,0.98,1,62.8,4.96,0
2183.9115,52.0485618,-0.7487290,101.30,0.527,1.024,0.89,1,62.8,4.96,0
2184.9277,52.0485627,-0.7487285,101.00,0.527,1.024,0.89,1,62.8,4.96,0
2185.9242,52.0485618,-0.7487333,101.40,0.527,1.024,0.89,1,62.8,4.96,0
2186.8896,52.0485565,-0.7487450,102.90,0.527,1.024,0.89,1,62.8,4.96,0
2187.9217,52.0485542,-0.7487515,103.50,0.527,1.024,0.89,1,62.8,4.96,0
2188.9165,52.0485545,-0.7487525,103.40,0.527,1.024,0.96,1,62.8,4.96,0
2189.8826,52.0485555,-0.7487537,103.10,0.527,1.024,0.89,1,62.8,4.96,0
2190.9159,52.0485517,-0.7487647,104.40,0.527,1.024,0.89,1,62.8,4.96,0
2191.8951,52.0485573,-0.7487510,102.70,0.527,1.024,0.86,1,62.8,4.96,0
2192.9157,52.0485595,-0.7487495,102.20,0.527,1.024,0.86,1,62.8,4.96,0
2193.9218,52.0485685,-0.7487352,100.10,0.527,1.024,0.86,1,62.8,4.96,0
2194.9218,52.0485768,-0.7487195,97.70,0.527,1.024,0.86,1,62.8,4.96,0
2195.9222,52.0485887,-0.7486998,94.60,0.527,1.024,0.90,1,62.8,4.96,0
2196.9139,52.0485987,-0.7486803,91.80,0.458,0.876,0.90,1,62.8,4.96,0
2197.9183,52.0486020,-0.7486745,90.90,0.458,0.876,1.03,1,62.8,4.96,0
2198.9159,52.0486023,-0.7486768,91.10,0.458,0.876,1.03,1,62.8,4.96,0
2199.9139,52.0486023,-0.7486813,91.30,0.458,0.876,1.03,1,62.8,4.96,0
2200.9137,52.0486063,-0.7486772,90.30,0.458,0.876,1.03,1,62.8,4.96,0
2201.8902,52.0486082,-0.7486763,90.00,0.458,0.876,1.03,1,62.8,4.96,0
2202.9069,52.0486125,-0.7486710,88.90,0.458,0.876,1.03,1,62.8,4.96,0
2203.9226,52.0486162,-0.7486682,88.10,0.458,0.876,1.03,1,62.8,4.96,0
2204.9223,52.0486197,-0.7486652,87.40,0.458,0.876,1.03,1,62.8,4.96,0
2205.9119,52.0486198,-0.7486660,87.60,0.458,0.876,1.79,1,62.8,4.96,0
2206.8725,52.0486252,-0.7486618,86.60,0.458,0.876,1.79,1,62.8,4.96,0
2207.9120,52.0486238,-0.7486677,87.10,0.458,0.876,1.03,1,62.8,4.96,0
2208.8968,52.0486257,-0.7486658,86.60,0.458,0.876,1.03,1,62.8,4.96,0
2209.9077,52.0486343,-0.7486503,84.20,0.458,0.876,1.03,1,62.8,4.96,0
2210.9059,52.0486412,-0.7486387,82.50,0.458,0.876,1.03,1,62.8,4.96,0
2211.9146,52.0486465,-0.7486317,81.30,0.458,0.876,1.03,1,62.8,4.96,0
2212.9081,52.0486520,-0.7486223,80.00,0.458,0.876,1.79,1,62.8,4.96,0
2213.9125,52.0486560,-0.7486157,78.90,0.458,0.876,1.03,1,62.8,4.96,0
2214.9191,52.0486530,-0.7486243,79.90,0.458,0.876,1.03,1,62.8,4.96,0
2215.8925,52.0486512,-0.7486318,80.50,0.458,0.876,1.03,1,62.8,4.96,0
2216.9150,52.0486513,-0.7486357,80.50,0.458,0.876,1.03,1,62.8,4.96,0
2217.8930,52.0486552,-0.7486313,79.50,0.458,0.876,1.79,1,62.8,4.96,0
2218.9057,52.0486550,-0.7486337,79.50,0.458,0.876,1.79,1,62.8,4.96,0
2219.9117,52.0486627,-0.7486235,77.50,0.458,0.876,1.03,1,62.8,4.96,0
2220.9076,52.0486753,-0.7486045,74.30,0.608,0.854,1.03,1,54.6,5.45,0
2221.9094,52.0486727,-0.7486117,75.10,0.608,0.854,1.79,1,54.6,5.45,0
2222.8813,52.0486703,-0.7486187,76.00,0.608,0.854,1.79,1,54.6,5.45,0
2223.9044,52.0486652,-0.7486305,77.50,0.608,0.854,1.79,1,54.6,5.45,0
2224.8850,52.0486630,-0.7486360,78.10,0.608,0.854,1.79,1,54.6,5.45,0
2225.9160,52.0486602,-0.7486457,79.20,0.608,0.854,1.05,1,54.6,5.45,0
2226.9112,52.0486510,-0.7486673,81.90,0.608,0.854,1.05,1,54.6,5.45,0
2227.9147,52.0486437,-0.7486833,83.90,0.608,0.854,1.05,1,54.6,5.45,0
2228.9217,52.0486325,-0.7487078,87.30,0.608,0.854,1.05,1,54.6,5.45,0
2229.8868,52.0486288,-0.7487192,88.40,0.608,0.854,1.05,1,54.6,5.45,0
2230.9189,52.0486217,-0.7487328,90.40,0.608,0.854,1.05,1,54.6,5.45,0
2231.8820,52.0486160,-0.7487442,91.80,0.608,0.854,1.03,1,54.6,5.45,0
2232.9155,52.0486128,-0.7487502,92.50,0.608,0.854,0.94,1,54.6,5.45,0
2233.9082,52.0486085,-0.7487615,93.90,0.608,0.854,0.94,1,54.6,5.45,0
2234.9153,52.0486023,-0.7487763,95.70,0.608,0.854,0.94,1,54.6,5.45,0
2235.9094,52.0486007,-0.7487787,96.10,0.608,0.854,1.03,1,54.6,5.45,0
2236.8913,52.0486032,-0.7487755,95.50,0.608,0.854,1.03,1,54.6,5.45,0
2237.9085,52.0486007,-0.7487793,96.10,0.608,0.854,1.03,1,54.6,5.45,0
2238.8997,52.0485982,-0.7487847,96.80,0.608,0.854,1.03,1,54.6,5.45,0
2239.9060,52.0485955,-0.7487885,97.40,0.608,0.854,1.03,1,54.6,5.45,0
2240.9191,52.0485935,-0.7487925,98.00,0.608,0.854,1.03,1,54.6,5.45,0
2241.8872,52.0485932,-0.7487935,98.10,0.608,0.854,1.03,1,54.6,5.45,0
2242.9183,52.0485917,-0.7487933,98.20,0.608,0.854,1.03,1,54.6,5.45,0
2243.9125,52.0485903,-0.7487988,98.80,0.608,0.854,1.03,1,54.6,5.45,0
2244.8769,52.0485857,-0.7488062,99.80,0.608,0.854,1.03,1,54.6,5.45,0
2245.9243,52.0485762,-0.7488247,102.40,0.608,0.854,0.94,1,54.6,5.45,0
2246.8903,52.0485675,-0.7488422,104.90,0.608,0.854,0.94,1,54.6,5.45,0
2247.9240,52.0485658,-0.7488457,105.20,0.608,0.854,1.03,1,54.6,5.45,0
2248.9065,52.0485632,-0.7488512,105.90,0.608,0.854,1.03,1,54.6,5.45,0
2249.9283,52.0485573,-0.7488673,107.70,0.608,0.854,0.96,1,54.6,5.45,0
2250.9121,52.0485530,-0.7488765,108.90,0.608,0.854,1.03,1,54.6,5.45,0
2251.8759,52.0485470,-0.7488862,110.40,0.608,0.854,1.03,1,54.6,5.45,0
2252.9064,52.0485427,-0.7488932,111.40,0.608,0.854,1.03,1,54.6,5.45,0
2253.9029,52.0485375,-0.7489018,112.70,0.608,0.854,1.03,1,54.6,5.45,0
2254.9094,52.0485342,-0.7489060,113.50,0.608,0.854,1.03,1,54.6,5.45,0
2255.9196,52.0485277,-0.7489200,115.40,0.608,0.854,1.03,1,54.6,5.45,0
2256.8837,52.0485217,-0.7489292,116.90,0.608,0.854,1.03,1,54.6,5.45,0
2257.9140,52.0485185,-0.7489357,117.70,0.608,0.854,1.03,1,54.6,5.45,0
2258.9193,52.0485100,-0.7489522,120.00,0.608,0.854,1.03,1,54.6,5.45,0
2259.9198,52.0485057,-0.7489600,121.10,0.608,0.854,1.03,1,54.6,5.45,0
2260.9176,52.0485017,-0.7489648,122.00,0.608,0.854,1.03,1,54.6,5.45,0
2261.8964,52.0484962,-0.7489728,123.40,0.608,0.854,1.03,1,54.6,5.45,0
2262.9148,52.0484908,-0.7489850,124.80,0.608,0.854,0.95,1,54.6,5.45,0
2263.9075,52.0484833,-0.7489993,126.80,0.608,0.854,0.95,1,54.6,5.45,0
2264.9073,52.0484777,-0.7490087,128.20,0.608,0.854,0.95,1,54.6,5.45,0
2265.9204,52.0484707,-0.7490185,129.80,0.608,0.854,0.95,1,54.6,5.45,0
2266.9019,52.0484670,-0.7490243,130.80,0.608,0.854,0.95,1,54.6,5.45,0
2267.9085,52.0484663,-0.7490267,130.90,0.608,0.854,0.95,1,54.6,5.45,0
2268.9176,52.0484627,-0.7490320,131.80,0.608,0.854,0.95,1,54.6,5.45,0
2269.9160,52.0484598,-0.7490368,132.60,0.608,0.854,0.95,1,54.6,5.45,0
2270.9153,52.0484593,-0.7490370,132.70,0.608,0.854,0.95,1,54.6,5.45,0
2271.8952,52.0484568,-0.7490427,133.40,0.608,0.854,0.95,1,54.6,5.45,0
2272.9255,52.0484558,-0.7490428,133.70,0.608,0.854,0.95,1,54.6,5.45,0
2273.9213,52.0484538,-0.7490475,134.40,0.608,0.854,0.95,1,54.6,5.45,0
2274.8865,52.0484543,-0.7490505,134.40,0.608,0.854,0.89,1,54.6,5.45,0
2275.9138,52.0484535,-0.7490512,134.60,0.608,0.854,0.95,1,54.6,5.45,0
2276.9078,52.0484538,-0.7490555,134.90,0.608,0.854,0.89,1,54.6,5.45,0
2277.9225,52.0484552,-0.7490503,134.50,0.608,0.854,0.95,1,54.6,5.45,0
2278.9185,52.0484547,-0.7490538,134.70,0.608,0.854,0.89,1,54.6,5.45,0
2279.8875,52.0484540,-0.7490547,134.80,0.608,0.854,0.89,1,54.6,5.45,0
2280.9178,52.0484537,-0.7490553,134.90,0.608,0.854,0.89,1,54.6,5.45,0
2281.9254,52.0484543,-0.7490538,134.80,0.608,0.854,0.89,1,54.6,5.45,0
2282.9238,52.0484532,-0.7490587,135.20,0.608,0.854,0.89,1,54.6,5.45,0
2283.9264,52.0484542,-0.7490585,134.80,0.608,0.854,0.86,1,54.6,5.45,0
2284.8939,52.0484538,-0.7490562,134.70,0.608,0.854,0.95,1,54.6,5.45,0
2285.9117,52.0484537,-0.7490568,134.90,0.608,0.854,0.95,1,54.6,5.45,0
2286.9207,52.0484532,-0.7490593,135.10,0.608,0.854,0.95,1,54.6,5.45,0
2287.9218,52.0484527,-0.7490573,135.00,0.608,0.854,0.95,1,54.6,5.45,0
2288.9197,52.0484540,-0.7490543,134.60,0.608,0.854,0.89,1,54.6,5.45,0
2289.8844,52.0484542,-0.7490570,134.50,0.608,0.854,0.89,1,54.6,5.45,0
2290.9233,52.0484532,-0.7490565,134.40,0.608,0.854,0.89,1,54.6,5.45,0
2291.8958,52.0484553,-0.7490550,133.60,0.608,0.854,0.99,1,54.6,5.45,0
2292.9166,52.0484570,-0.7490587,133.10,0.608,0.854,0.89,1,54.6,5.45,0
2293.9174,52.0484597,-0.7490553,132.50,0.608,0.854,0.89,1,54.6,5.45,0
2294.9140,52.0484625,-0.7490518,131.60,0.608,0.854,0.89,1,54.6,5.45,0
2295.9223,52.0484652,-0.7490488,130.80,0.608,0.854,0.89,1,54.6,5.45,0
2296.8833,52.0484665,-0.7490497,130.50,0.608,0.854,0.89,1,54.6,5.45,0
2297.9280,52.0484708,-0.7490395,129.20,0.608,0.854,0.89,1,54.6,5.45,0
2298.8938,52.0484733,-0.7490285,128.50,0.608,0.854,0.89,1,54.6,5.45,0
2299.9197,52.0484755,-0.7490198,127.80,0.608,0.854,0.89,1,54.6,5.45,0
2300.9250,52.0484780,-0.7490137,127.00,0.608,0.854,0.89,1,54.6,5.45,0
2301.9200,52.0484802,-0.7490105,126.40,0.608,0.854,0.89,1,54.6,5.45,0
2302.9132,52.0484817,-0.7490108,125.90,0.608,0.854,0.89,1,54.6,5.45,0
2303.8910,52.0484862,-0.7490013,124.70,0.608,0.854,0.89,1,54.6,5.45,0
2304.9252,52.0484877,-0.7489943,124.40,0.608,0.854,0.89,1,54.6,5.45,0
2305.9096,52.0484883,-0.7489917,124.20,0.608,0.854,0.89,1,54.6,5.45,0
2306.9093,52.0484892,-0.7489957,124.10,0.608,0.854,0.89,1,54.6,5.45,0
2307.9193,52.0484903,-0.7489937,123.80,0.608,0.854,0.89,1,54.6,5.45,0
2308.8977,52.0484897,-0.7489982,124.10,0.608,0.854,0.89,1,54.6,5.45,0
2309.9163,52.0484907,-0.7489977,123.90,0.608,0.854,0.89,1,54.6,5.45,0
2310.9125,52.0484910,-0.7489953,123.70,0.608,0.854,0.89,1,54.6,5.45,0
2311.9310,52.0484937,-0.7489897,122.90,0.608,0.854,0.86,1,54.6,5.45,0
2312.9287,52.0484952,-0.7489867,122.70,0.608,0.854,0.86,1,54.6,5.45,0
2313.9290,52.0484993,-0.7489792,121.50,0.608,0.854,0.89,1,54.6,5.45,0
2314.9280,52.0485030,-0.7489707,120.50,0.608,0.854,0.89,1,54.6,5.45,0
2315.9221,52.0485085,-0.7489670,119.00,0.608,0.854,0.89,1,54.6,5.45,0
2316.9157,52.0485115,-0.7489618,118.10,0.608,0.854,0.89,1,54.6,5.45,0
2317.9156,52.0485127,-0.7489603,117.50,0.608,0.854,0.89,1,54.6,5.45,0
2318.8964,52.0485127,-0.7489625,117.30,0.608,0.854,0.89,1,54.6,5.45,0
2319.9173,52.0485152,-0.7489598,116.50,0.608,0.854,0.86,1,54.6,5.45,0
2320.9129,52.0485183,-0.7489528,115.70,0.608,0.854,0.86,1,54.6,5.45,0
2321.9306,52.0485218,-0.7489480,114.80,0.608,0.854,0.86,1,54.6,5.45,0
2322.9284,52.0485232,-0.7489485,114.70,0.608,0.854,0.89,1,54.6,5.45,0
2323.8960,52.0485277,-0.7489447,113.50,0.608,0.854,0.89,1,54.6,5.45,0
2324.9140,52.0485265,-0.7489470,113.70,0.608,0.854,0.89,1,54.6,5.45,0
2325.9212,52.0485283,-0.7489457,113.10,0.608,0.854,0.89,1,54.6,5.45,0
2326.9192,52.0485290,-0.7489477,113.10,0.608,0.854,0.89,1,54.6,5.45,0
2327.9206,52.0485323,-0.7489458,112.30,0.608,0.854,0.90,1,54.6,5.45,0
2328.8883,52.0485362,-0.7489388,111.50,0.608,0.854,0.90,1,54.6,5.45,0
2329.9203,52.0485397,-0.7489320,110.80,0.608,0.854,0.86,1,54.6,5.45,0
2330.9180,52.0485423,-0.7489270,110.30,0.608,0.854,0.86,1,54.6,5.45,0
2331.9219,52.0485367,-0.7489305,110.60,0.608,0.854,0.86,1,54.6,5.45,0
2332.9181,52.0485345,-0.7489328,110.90,0.608,0.854,1.14,1,54.6,5.45,0
2333.8878,52.0485305,-0.7489378,111.50,0.608,0.854,1.14,1,54.6,5.45,0
2334.9200,52.0485282,-0.7489372,112.40,0.608,0.854,1.14,1,54.6,5.45,0
2335.9064,52.0485250,-0.7489417,113.30,0.608,0.854,1.22,1,54.6,5.45,0
2336.9020,52.0485215,-0.7489445,114.20,0.608,0.854,1.22,1,54.6,5.45,0
2337.9142,52.0485178,-0.7489543,115.20,0.608,0.854,1.22,1,54.6,5.45,0
2338.8719,52.0485170,-0.7489553,115.40,0.608,0.854,1.22,1,54.6,5.45,0
2339.9077,52.0485165,-0.7489515,115.60,0.608,0.854,1.22,1,54.6,5.45,0
2340.8925,52.0485183,-0.7489493,114.90,0.608,0.854,1.22,1,54.6,5.45,0
2341.9087,52.0485177,-0.7489477,114.90,0.608,0.854,1.22,1,54.6,5.45,0
2342.9192,52.0485193,-0.7489468,114.10,0.608,0.854,1.22,1,54.6,5.45,0
2343.9177,52.0485212,-0.7489423,113.40,0.608,0.854,1.22,1,54.6,5.45,0
2344.9214,52.0485218,-0.7489343,113.10,0.608,0.854,0.93,1,54.6,5.45,0
2345.8914,52.0485245,-0.7489292,112.20,0.608,0.854,0.93,1,54.6,5.45,0
2346.9128,52.0485272,-0.7489270,111.30,0.608,0.854,0.93,1,54.6,5.45,0
2347.9094,52.0485292,-0.7489245,110.70,0.608,0.854,0.93,1,54.6,5.45,0
2348.9101,52.0485295,-0.7489265,110.60,0.608,0.854,0.93,1,54.6,5.45,0
2349.9091,52.0485287,-0.7489272,110.60,0.608,0.854,0.93,1,54.6,5.45,0
2350.9232,52.0485310,-0.7489243,109.80,0.608,0.854,0.93,1,54.6,5.45,0
2351.9100,52.0485328,-0.7489228,109.30,0.608,0.854,0.93,1,54.6,5.45,0
2352.9172,52.0485318,-0.7489255,109.80,0.608,0.854,0.93,1,54.6,5.45,0
2353.9219,52.0485285,-0.7489340,111.10,0.608,0.854,0.93,1,54.6,5.45,0
2354.9168,52.0485287,-0.7489363,110.90,0.608,0.854,0.93,1,54.6,5.45,0
2355.8823,52.0485278,-0.7489370,111.00,0.608,0.854,0.93,1,54.6,5.45,0
2356.9179,52.0485262,-0.7489387,111.30,0.608,0.854,0.93,1,54.6,5.45,0
2357.9111,52.0485250,-0.7489400,111.40,0.608,0.854,0.93,1,54.6,5.45,0
2358.9288,52.0485248,-0.7489417,111.40,0.608,0.854,0.93,1,54.6,5.45,0
2359.9215,52.0485235,-0.7489440,111.60,0.608,0.854,0.93,1,54.6,5.45,0
2360.8894,52.0485243,-0.7489452,111.50,0.608,0.854,0.93,1,54.6,5.45,0
2361.9217,52.0485195,-0.7489548,112.70,0.608,0.854,0.93,1,54.6,5.45,0
2362.9189,52.0485153,-0.7489613,113.90,0.608,0.854,0.93,1,54.6,5.45,0
2363.9209,52.0485098,-0.7489687,115.40,0.608,0.854,0.93,1,54.6,5.45,0
2364.9195,52.0485072,-0.7489712,116.10,0.608,0.854,0.93,1,54.6,5.45,0
2365.8880,52.0485083,-0.7489668,115.70,0.608,0.854,0.93,1,54.6,5.45,0
2366.9219,52.0485058,-0.7489658,116.20,0.608,0.854,0.93,1,54.6,5.45,0
2367.9175,52.0485032,-0.7489687,116.90,0.608,0.854,0.93,1,54.6,5.45,0
2368.9215,52.0485013,-0.7489682,117.20,0.608,0.854,0.93,1,54.6,5.45,0
2369.9206,52.0485000,-0.7489682,117.50,0.608,0.854,0.93,1,54.6,5.45,0
2370.8993,52.0484965,-0.7489738,118.50,0.608,0.854,0.93,1,54.6,5.45,0
2371.9185,52.0484957,-0.7489655,118.10,0.608,0.854,0.93,1,54.6,5.45,0
2372.9140,52.0484923,-0.7489670,118.90,0.608,0.854,0.93,1,54.6,5.45,0
2373.9138,52.0484882,-0.7489707,119.90,0.608,0.854,0.93,1,54.6,5.45,0
2374.9106,52.0484878,-0.7489692,119.80,0.608,0.854,0.93,1,54.6,5.45,0
2375.9058,52.0484865,-0.7489690,120.00,0.608,0.854,0.93,1,54.6,5.45,0
2376.9116,52.0484893,-0.7489637,119.10,0.608,0.854,0.93,1,54.6,5.45,0
2377.9070,52.0484898,-0.7489627,118.80,0.608,0.854,0.93,1,54.6,5.45,0
